link,pdf_links
https://www.bnm.gov.my/-/transference-of-bank-negara-s-counter-services-to-commercial-banks,[]
https://www.bnm.gov.my/-/new-exchange-control-export-procedures,[]
https://www.bnm.gov.my/-/the-launch-of-bnm-web-site-on-the-internet,[]
https://www.bnm.gov.my/-/voluntary-separation-programme,[]
https://www.bnm.gov.my/-/ninth-annual-conference-with-insurance-companies,[]
https://www.bnm.gov.my/-/25th-annual-conference-with-finance-companies,[]
https://www.bnm.gov.my/-/38th-annual-conference-with-commercial-banks,[]
https://www.bnm.gov.my/-/23rd-annual-conference-with-merchant-banks,[]
https://www.bnm.gov.my/-/11th-annual-conference-with-financial-institutions,[]
https://www.bnm.gov.my/-/new-activities-for-tier-1-commercial-banks,[]
https://www.bnm.gov.my/-/developments-in-mbf-finance-berhad,[]
https://www.bnm.gov.my/-/inaugural-meeting-of-the-asean-central-bank-forum,[]
https://www.bnm.gov.my/-/direction-of-monetary-policy,[]
https://www.bnm.gov.my/-/rm10-uncut-banknotes,[]
https://www.bnm.gov.my/-/mbf-finance-berhad,[]
https://www.bnm.gov.my/-/twelfth-annual-conference-with-financial-institutions,[]
https://www.bnm.gov.my/-/licence-to-carry-on-insurance-business-in-malaysia,[]
https://www.bnm.gov.my/-/limit-on-non-commercial-related-ringgit-offer-side-swap-transactions-with-foreign-customers,[]
https://www.bnm.gov.my/-/members-of-the-national-syariah-advisory-council-for-islamic-banking-and-takaful,[]
https://www.bnm.gov.my/-/-warna-warna-ilham-print-exhibition-at-bank-negara-malaysia>Warna-warna Ilham,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/publication-of-the-report-on-the-annual-survey-of-manufacturing-companies-1996,[]
https://www.bnm.gov.my/-/public-caution-of-a-person-soliciting-donations-on-behalf-of-bank-negara-malaysia,[]
https://www.bnm.gov.my/-/new-monetary-measures,[]
https://www.bnm.gov.my/-/sale-of-guidelines-on-minimum-audit-standards-for-internal-auditors-of-financial-institutions,[]
https://www.bnm.gov.my/-/insurance-act-1996-and-the-insurance-regulations-1996,[]
https://www.bnm.gov.my/-/guidelines-on-credit-card-operations,[]
https://www.bnm.gov.my/-/purchase-of-ringgit-held-by-non-residents-by-the-blue-circle-group,[]
https://www.bnm.gov.my/-/closure-of-the-communication-centre-for-exchange-control,[]
https://www.bnm.gov.my/-/dialogues-session-with-insurance-companies,[]
https://www.bnm.gov.my/-/launching-of-pocket-money-book-and-family-income-statement-book,[]
https://www.bnm.gov.my/-/the-implementation-of-sistem-penjelasan-imej-cek-kebangsaan-spick-in-pulau-pinang-kedah-and-perlis,[]
https://www.bnm.gov.my/-/conversion-of-ringgit-into-foreign-currency-for-repatriation-abroad-by-external-account-holders,[]
https://www.bnm.gov.my/-/closing-date-extension-for-national-savings-promotion-campaign-poster-competition,[]
https://www.bnm.gov.my/-/additional-measures,[]
https://www.bnm.gov.my/-/corporate-debt-restructuring-committee-public-seminar,[]
https://www.bnm.gov.my/-/clarification-on-a-report-by-the-far-eastern-economic-review,[]
https://www.bnm.gov.my/-/measures-to-strengthen-the-islamic-banking-sector,[]
https://www.bnm.gov.my/-/change-of-weekend-holiday-for-financial-institutions-in-kedah-darulaman,[]
https://www.bnm.gov.my/-/debt-restructuring-procedures-unveiled,[]
https://www.bnm.gov.my/-/travellers-declaration-pass-tdp-,[]
https://www.bnm.gov.my/-/the-new-design-rm100-banknotes,[]
https://www.bnm.gov.my/-/reminder-on-rm500-and-rm1000-currency-notes,[]
https://www.bnm.gov.my/-/information-on-repatriation-of-dividends-interest-rental-fees-commissions-or-profits,[]
https://www.bnm.gov.my/-/guide-to-the-exchange-control-rules-labuan-international-offshore-financial-centre,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-6,[]
https://www.bnm.gov.my/-/additional-measures-for-the-priority-sectors,[]
https://www.bnm.gov.my/-/guide-to-the-exchange-control-rules,[]
https://www.bnm.gov.my/-/new-measures-for-the-insurance-industry,[]
https://www.bnm.gov.my/-/the-coming-into-force-of-the-money-changing-act-1998,[]
https://www.bnm.gov.my/-/repatriation-of-ringgit-funds-to-malaysia,[]
https://www.bnm.gov.my/-/banking-measures,[]
https://www.bnm.gov.my/-/corporate-debt-restructuring-committee-members,[]
https://www.bnm.gov.my/-/implementation-of-exchange-control-measure-on-the-import-export-of-currency-notes-by-travellers,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-5,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-4,[]
https://www.bnm.gov.my/-/money-changing-business-forex-rates,[]
https://www.bnm.gov.my/-/demonetisation-of-rm1000-and-rm500-notes,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-3,[]
https://www.bnm.gov.my/-/settlement-of-outstanding-contracts,[]
https://www.bnm.gov.my/-/lending-to-the-construction-and-property-sectors,[]
https://www.bnm.gov.my/-/statutory-reserve-requirement-of-banking-institutions-1,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-2,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-1,[]
https://www.bnm.gov.my/-/additional-measures-by-bnm,[]
https://www.bnm.gov.my/-/exchange-rate-of-ringgit,[]
https://www.bnm.gov.my/-/measures-to-regain-monetary-independence,[]
https://www.bnm.gov.my/-/easing-of-monetary-policy,[]
https://www.bnm.gov.my/-/corporate-debt-restructuring-committee-operations,[]
https://www.bnm.gov.my/-/reduction-of-the-3-month-intervention-rate,[]
https://www.bnm.gov.my/-/the-implementation-of-sistem-penjelasan-imej-cek-kebangsaan-spick-in-perak-and-pahang,[]
https://www.bnm.gov.my/-/reduction-of-the-3-month-intervention-rate-and-the-introduction-of-a-new-liquidity-framework,[]
https://www.bnm.gov.my/-/invitation-to-batik-art-exhibition,[]
https://www.bnm.gov.my/-/recapitalisation-and-consolidation-of-the-banking-sector,[]
https://www.bnm.gov.my/-/clarification-on-statutory-reserve-requirement-reduction,[]
https://www.bnm.gov.my/-/kuala-lumpur-98-xvi-commonwealth-games-rm50-commemorative-polymer-banknote,[]
https://www.bnm.gov.my/-/statutory-reserve-requirement-of-banking-institutions,[]
https://www.bnm.gov.my/-/interest-rate-policy,[]
https://www.bnm.gov.my/-/the-implementation-of-sistem-penjelasan-imej-cek-kebangsaan-spick-in-southern-perak-and-western-pahang,[]
https://www.bnm.gov.my/-/measures-to-enhance-liquidity-management,[]
https://www.bnm.gov.my/-/housing-developers-facility,[]
https://www.bnm.gov.my/-/merger-of-finance-companies,[]
https://www.bnm.gov.my/-/1998-lending-guidelines-to-the-priority-sectors,[]
https://www.bnm.gov.my/-/stabilisation-package-for-the-financial-sector,[]
https://www.bnm.gov.my/-/reserve-money,[]
https://www.bnm.gov.my/-/sime-bank-berhad,[]
https://www.bnm.gov.my/-/monthly-statistical-bulletin-january-1998,[]
https://www.bnm.gov.my/-/monetary-policy,[]
https://www.bnm.gov.my/-/maturity-of-bon-simpanan-malaysia-siri-01,[]
https://www.bnm.gov.my/-/loan-monitoring-unit,[]
https://www.bnm.gov.my/-/protection-of-depositors-interests,[]
https://www.bnm.gov.my/-/malaysia-s-external-debt-position,[]
https://www.bnm.gov.my/-/merger-plans-for-finance-companies,[]
https://www.bnm.gov.my/-/banks-to-accept-cheques-with-year-revalidated,[]
https://www.bnm.gov.my/-/public-has-nothing-to-fear-their-deposits-are-safe,[]
https://www.bnm.gov.my/-/public-advised-to-do-year-end-banking-transactions-early,[]
https://www.bnm.gov.my/-/pengeluaran-duit-syiling-emas-peringatan-tahun-2000,[]
https://www.bnm.gov.my/-/the-central-bank-and-the-financial-system-in-malaysia-a-decade-of-change-1989-1999,[]
https://www.bnm.gov.my/-/publication-of-the-pocket-money-book-and-household-account-book-for-the-year-2000,[]
https://www.bnm.gov.my/-/latest-issue-of-the-rm2-rm10-rm50-and-rm100-banknotes,[]
https://www.bnm.gov.my/-/extension-of-closing-date-for-subscription-of-bon-simpanan-malaysia-siri-02,['documents/20124/71938/1110.pdf']
https://www.bnm.gov.my/-/malaysia-savings-bond-series-02,['documents/20124/71938/1029.pdf']
https://www.bnm.gov.my/-/y2k-update-booklet-the-year-2000-problem-readiness-of-the-malaysian-banking-insurance-sector,['documents/20124/71938/updatebooklet.pdf']
https://www.bnm.gov.my/-/international-reserves-of-bank-negara-malaysia,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-14,[]
https://www.bnm.gov.my/-/bank-negara-malaysia-announced-that-encik-mohd.-razif-bin-abdul-kadir-has-been-promoted-as-assistant-governor-of-bank-negara-malaysia-with-effect-from-1-october-1999,[]
https://www.bnm.gov.my/-/issuance-of-commemorative-coins-to-mark-the-1st-petronas-malaysian-f1-grand-prix-1999,[]
https://www.bnm.gov.my/-/all-domestic-banking-institutions-have-signed-mous,[]
https://www.bnm.gov.my/-/raid-on-illegal-money-changing-operators,[]
https://www.bnm.gov.my/-/new-design-rm5-banknotes,[]
https://www.bnm.gov.my/-/press-statement-on-the-renewal-of-travellers-declaration-pass-tdp-for-workers-and-students-in-johor-bahru,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-13,[]
https://www.bnm.gov.my/-/new-ecm-notices-further-inquiries,[]
https://www.bnm.gov.my/-/introduction-of-travellers-declaration-pass-in-sabah-sarawak-and-wilayah-persekutuan-labuan,[]
https://www.bnm.gov.my/-/clarification-on-money-lending-licenses,[]
https://www.bnm.gov.my/-/lien-hoe-berhad-debt-restructuring-scheme,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-12,[]
https://www.bnm.gov.my/-/y2k-command-centre-help-desk-services,[]
https://www.bnm.gov.my/-/bnm-set-up-y2k-command-centre,[]
https://www.bnm.gov.my/-/deadline-for-mergers-unchanged,[]
https://www.bnm.gov.my/-/outflow-of-portfolio-funds-1,[]
https://www.bnm.gov.my/-/raids-on-illegal-deposit-taking-operators,[]
https://www.bnm.gov.my/-/outflow-of-portfolio-funds,[]
https://www.bnm.gov.my/-/amout-of-portfolio-funds-repatriated-on-september-1-1999,[]
https://www.bnm.gov.my/-/all-currency-notes-bear-the-signature-of-bnm-governor,[]
https://www.bnm.gov.my/-/all-currency-notes-bear-the-signature-of-bnm-governor-1,[]
https://www.bnm.gov.my/-/movement-in-bnm-senior-management,[]
https://www.bnm.gov.my/-/principles-on-valuation-for-the-consolidation-programme-of-domestic-banking-institutions,[]
https://www.bnm.gov.my/-/debt-restructuring-of-nam-fatt-corporation-bhd,[]
https://www.bnm.gov.my/-/tax-incentives-for-consolidation-of-domestic-banking-institutions,[]
https://www.bnm.gov.my/-/reduction-in-intervention-rate-2,[]
https://www.bnm.gov.my/-/lending-for-purchase-of-shares-and-units-of-unit-trust-fund,[]
https://www.bnm.gov.my/-/termination-of-the-industrial-adjustment-fund-and-special-scheme-for-low-and-medium-cost-houses,[]
https://www.bnm.gov.my/-/consolidation-and-rationalisation-of-the-domestic-banking-institutions,[]
https://www.bnm.gov.my/-/new-eligibility-criteria-for-credit-cards,[]
https://www.bnm.gov.my/-/public-advised-not-to-participate-in-illegal-deposit-taking-activities,[]
https://www.bnm.gov.my/-/merger-programme-for-domestic-banking-institutions,[]
https://www.bnm.gov.my/-/introduction-of-rentas-system,[]
https://www.bnm.gov.my/-/cdrc-press-release-new-appointments-to-the-steering-committee,[]
https://www.bnm.gov.my/-/new-measures-for-the-insurance-industry-at-the-international-conference-for-emerging-markets-in-a-globalising-economy,[]
https://www.bnm.gov.my/-/release-of-a-y2k-joint-publication-by-bank-negara-malaysia-and-the-securities-commission,[]
https://www.bnm.gov.my/-/progress-of-banking-sector-restructuring,[]
https://www.bnm.gov.my/-/assumption-of-control-of-sime-merchant-bankers-berhad-and-sabah-finance-berhad,[]
https://www.bnm.gov.my/-/new-miyazawa-initiative-short-term-financing-facility,[]
https://www.bnm.gov.my/-/rm500-and-rm1-000-notes-are-still-exchangeable-at-bnm-offices,[]
https://www.bnm.gov.my/-/a-reminder-to-all-travellers,[]
https://www.bnm.gov.my/-/grace-period-for-public-to-exchange/bank-in-rm500-and-rm1-000-notes,[]
https://www.bnm.gov.my/-/raids-on-illegal-money-changing-operators,[]
https://www.bnm.gov.my/-/reminder-on-the-demonetisation-of-the-rm500-and-rm1000-currency-notes,[]
https://www.bnm.gov.my/-/rm100-banknotes-with-new-signature-put-into-circulation,[]
https://www.bnm.gov.my/-/cdrc-press-release-debt-restructuring-scheme-of-chongai-corporation-berhad-and-pembangunan-bandar-mutiara-sdn.-bhd.,[]
https://www.bnm.gov.my/-/reduction-in-intervention-rate-1,[]
https://www.bnm.gov.my/-/cdrc-press-release-tongkah-holdings-berhad-debt-restructuring-scheme-1,[]
https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-11,[]
https://www.bnm.gov.my/-/thirteenth-annual-conference-with-financial-institutions,[]
https://www.bnm.gov.my/-/financial-institutions-pledged-rm4.6-million-to-je-special-trust-account,[]
https://www.bnm.gov.my/-/reduction-in-intervention-rate,[]
