link,pdf_links
https://www.bnm.gov.my/-/penggabungan-dan-pengukuhan-institusi-perbankan-tempatan,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-november-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/expansion-and-enlargement-of-the-asean-swap-arrangement,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-dis-2000,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-nov-2000,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-oktober-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/dana-modal-minimum-institusi-perbankan-dinaikkan,[]
https://www.bnm.gov.my/-/penggunaan-perkataan-bank-dan-syarikat-kewangan-,[]
https://www.bnm.gov.my/-/rekabentuk-wang-kertas-rm1-yang-baru,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-okt-2000,[]
https://www.bnm.gov.my/-/pengeluaran-duit-syiling-peringatan-sempena-perisytiharan-shah-alam-sebagai-bandaraya,[]
https://www.bnm.gov.my/-/bnm-terbitkan-buku-wang-saku-dan-buku-perancangan-dan-penyata-kewangan-keluarga-2001,[]
https://www.bnm.gov.my/-/sesi-dialog-dengan-syarikat-insurans-dan-pengendali-takaful,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-september-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/serbuan-ke-atas-dua-pengurup-wang-asing-yang-disyaki-haram,[]
https://www.bnm.gov.my/-/serbuan-ke-atas-pengurup-wang-asing-haram-di-johor-bahru,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-sep-2000-1,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-sep-2000,[]
https://www.bnm.gov.my/-/laporan-mengenai-kad-kredit,[]
https://www.bnm.gov.my/-/semua-institusi-perbankan-berjaya-menandatangani-perjanjian-jual-beli,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-julai-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/persidangan-mengenai-perbankan-pusat-dan-pembangunan-mapan-dalam-abad-ke-21-,[]
https://www.bnm.gov.my/-/bnm-menubuhkan-pusat-maklumat-mengenai-pengambilan-deposit-secara-haram,[]
https://www.bnm.gov.my/-/nasihat-bnm-mengenai-skim-cepat-kaya,[]
https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-kenaikan-kadar-deposit,[]
https://www.bnm.gov.my/-/serbuan-ke-atas-pengurup-wang-asing-haram-di-kulim-kedah,[]
https://www.bnm.gov.my/-/institusi-perbankan-bersetuju-menaikkan-kadar-deposit,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-jun-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/peringkasan-prosedur-berkenaan-borang-perisytiharan-pengembara-tdf-,[]
https://www.bnm.gov.my/-/bnm-memberi-semula-lesen-kepada-bank-of-china,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-jul-2000,[]
https://www.bnm.gov.my/-/fi-pengendalian-bagi-pinjaman-sewa-beli,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-jun-2000,[]
https://www.bnm.gov.my/-/laporan-mengenai-kajian-tahunan-syarikat-perkilangan-1999,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-mei-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/perlantikan-dr.-subarjo-joyosumarto-sebagai-pengarah-eksekutif-seacen,[]
https://www.bnm.gov.my/-/pelancaran-program-keusahawanan,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-april-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/pengeluaran-duit-syiling-peringatan-piala-thomas/uber-2000,[]
https://www.bnm.gov.my/-/kenyataan-akhbar-oleh-dr.-zeti-akhtar-aziz-atas-pelantikan-beliau-sebagai-gabenor-bnm,[]
https://www.bnm.gov.my/-/serbuan-ke-atas-pengendali-pengambilan-deposit-secara-haram,[]
https://www.bnm.gov.my/-/pengeluaran-wang-dari-mesin-atm-secara-tidak-sah,[]
https://www.bnm.gov.my/-/bnm-menganjurkan-pameran-seni,[]
https://www.bnm.gov.my/-/serbuan-ke-atas-satu-lagi-pejabat-bni-agency,[]
https://www.bnm.gov.my/-/penamatan-tabung-untuk-industri-kecil-dan-sederhana-tabung-industri-bumiputera,[]
https://www.bnm.gov.my/-/sidang-akhbar-laporan-tahunan-bnm-1999,[]
https://www.bnm.gov.my/-/kalendar-lelongan-sekuriti-kerajaan-bagi-tahun-2000,[]
https://www.bnm.gov.my/-/serbuan-ke-atas-pengurup-wang-asing-haram-di-langkawi,[]
https://www.bnm.gov.my/-/bnm-sedang-memantau-agen-dan-agensi-syarikat-bni,[]
https://www.bnm.gov.my/-/laporan-tahunan-ketua-pengarah-insurans-dan-takaful-1999,[]
https://www.bnm.gov.my/-/kerahsiaan-perbankan,[]
https://www.bnm.gov.my/-/semua-institusi-kewangan-berjaya-memasuki-29-februari-tanpa-sebarang-masalah,[]
https://www.bnm.gov.my/-/perjumpaan-bnm-dengan-bank-bank-teras,[]
https://www.bnm.gov.my/-/penggabungan-institusi-perbankan-tempatan,[]
https://www.bnm.gov.my/-/pelancaran-tabung-projek-usahawan-bumiputera-tpub-,[]
https://www.bnm.gov.my/-/penggabungan-dan-pengukuhan-institusi-perbankan-tempatan-1,[]
https://www.bnm.gov.my/-/malaysia-menjadi-tuan-rumah-persidangan-gabenor-gabenor-seacen-ke-35ommunique-of-the-thirty-fifth-conference-of-governors-of-south-east-asian-central-banks-seacen-,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-dec-1999,[]
https://www.bnm.gov.my/-/malaysia-menjadi-tuan-rumah-persidangan-gabenor-gabenor-seacen-ke-35,[]
https://www.bnm.gov.my/-/sistem-komputer-institusi-kewangan-berjaya-memasuki-tahun-2000,[]
https://www.bnm.gov.my/-/laporan-status-y2k-pada-jam-0200,[]
https://www.bnm.gov.my/-/laporan-status-y2k-pada-jam-1900,[]
https://www.bnm.gov.my/-/y2k-status-report-at-0830-hours,[]
https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-november-2001-explanatory-notes,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-november-2001,['documents/20124/72668/i_bm-november.pdf']
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-dis-2001,[]
https://www.bnm.gov.my/-/penerbitan-bon-simpanan-malaysia-siri-03,[]
https://www.bnm.gov.my/-/kajian-risiko-penyelesaian-pertukaran-asing,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-nov-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-oktober-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-oktober-2001,[]
https://www.bnm.gov.my/-/bnm-terbitkan-buku-wang-saku-dan-buku-perancangan-dan-penyata-kewangan-keluarga-2002,[]
https://www.bnm.gov.my/-/pemansuhan-larangan-ke-atas-pemberian-pinjaman-titian-bagi-pembangunan-projek-perumahan-melebihi-rm250-000-seunit,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-nov-2001-1,[]
https://www.bnm.gov.my/-/perkembangan-ekonomi-kewangan-malaysia-pada-suku-ketiga-2001,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-okt-2001,[]
https://www.bnm.gov.my/-/sesi-dialog-dengan-syarikat-insurans-dan-pengendali-takaful-1,[]
https://www.bnm.gov.my/-/seorang-lelaki-dikehendaki-untuk-membantu-siasatan-bnm,[]
https://www.bnm.gov.my/-/kematangan-bon-simpanan-malaysia-siri-02,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-september-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-september-2001,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-oct-2001-1,[]
https://www.bnm.gov.my/-/jualan-duit-syiling-peringatan-keluaran-bnm,[]
