date,title,link
27 Dec 1996,Transference of Bank Negara's Counter Services to Commercial Banks,https://www.bnm.gov.my/-/transference-of-bank-negara-s-counter-services-to-commercial-banks
27 Dec 1996,New Exchange Control Export Procedures,https://www.bnm.gov.my/-/new-exchange-control-export-procedures
14 Dec 1996,The Launch of BNM Web Site on the Internet,https://www.bnm.gov.my/-/the-launch-of-bnm-web-site-on-the-internet
24 Sep 1996,Voluntary Separation Programme,https://www.bnm.gov.my/-/voluntary-separation-programme
12 Sep 1996,Ninth Annual Conference with Insurance Companies,https://www.bnm.gov.my/-/ninth-annual-conference-with-insurance-companies
10 Sep 1996,25th Annual Conference with Finance Companies,https://www.bnm.gov.my/-/25th-annual-conference-with-finance-companies
10 Sep 1996,38th Annual Conference with Commercial Banks,https://www.bnm.gov.my/-/38th-annual-conference-with-commercial-banks
10 Sep 1996,23rd Annual Conference with Merchant Banks,https://www.bnm.gov.my/-/23rd-annual-conference-with-merchant-banks
09 Sep 1996,11th Annual Conference with Financial Institutions,https://www.bnm.gov.my/-/11th-annual-conference-with-financial-institutions
26 Jul 1996,New Activities for Tier-1 Commercial Banks,https://www.bnm.gov.my/-/new-activities-for-tier-1-commercial-banks
26 Nov 1997,Developments in MBf Finance Berhad,https://www.bnm.gov.my/-/developments-in-mbf-finance-berhad
05 Nov 1997,Inaugural Meeting of the ASEAN Central Bank Forum,https://www.bnm.gov.my/-/inaugural-meeting-of-the-asean-central-bank-forum
18 Oct 1997,Direction of Monetary Policy,https://www.bnm.gov.my/-/direction-of-monetary-policy
25 Sep 1997,RM10 Uncut Banknotes,https://www.bnm.gov.my/-/rm10-uncut-banknotes
24 Sep 1997,MBf Finance Berhad,https://www.bnm.gov.my/-/mbf-finance-berhad
08 Sep 1997,Twelfth Annual Conference with Financial Institutions,https://www.bnm.gov.my/-/twelfth-annual-conference-with-financial-institutions
02 Sep 1997,Licence to Carry On Insurance Business in Malaysia,https://www.bnm.gov.my/-/licence-to-carry-on-insurance-business-in-malaysia
03 Aug 1997,Limit on non-commercial related ringgit offer side swap transactions with foreign customers,https://www.bnm.gov.my/-/limit-on-non-commercial-related-ringgit-offer-side-swap-transactions-with-foreign-customers
09 Jul 1997,Members of the National Syariah Advisory Council for Islamic Banking and Takaful,https://www.bnm.gov.my/-/members-of-the-national-syariah-advisory-council-for-islamic-banking-and-takaful
20 Jun 1997,"""Warna-warna Ilham"" Print Exhibition at Bank Negara Malaysia",https://www.bnm.gov.my/-/-warna-warna-ilham-print-exhibition-at-bank-negara-malaysia>Warna-warna Ilham
16 Jun 1997,Publication of the Report on the Annual Survey of Manufacturing Companies 1996,https://www.bnm.gov.my/-/publication-of-the-report-on-the-annual-survey-of-manufacturing-companies-1996
10 Apr 1997,Public caution of a person soliciting donations on behalf of Bank Negara Malaysia,https://www.bnm.gov.my/-/public-caution-of-a-person-soliciting-donations-on-behalf-of-bank-negara-malaysia
28 Mar 1997,New Monetary Measures,https://www.bnm.gov.my/-/new-monetary-measures
