link,pdf_links
https://www.bnm.gov.my/-/concept-paper-3-mudarabah,[]
https://www.bnm.gov.my/-/concept-paper-guidelines-on-takaful-operational-framework-%3Cfont-color-red-%3E-closed-%3C/font%3E,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/the-central-bank-of-malaysia-act-2009,[]
https://www.bnm.gov.my/-/financial-adviser-list-16112009,[]
https://www.bnm.gov.my/-/survey-bnm,[]
https://www.bnm.gov.my/-/%3Ca-href-http-//beyondtheglobalcrisis.eu/conference.aspx-%3Easem-conference-beyond-the-global-crisis-a-new-asian-growth-model-%3C/a%3E,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/pembiayaan-mikro-comparative-table-has-been-updated.-click-to-find-out.,"['documents/20124/761712/Comparative_Table_Pembiayaan_Mikro_2023_BM.pdf', 'documents/20124/761712/Comparative_Table_Pembiayaan_Mikro_2023_Eng.pdf', 'documents/20124/761712/FAQ_on_Pembiayaan_Mikro_English.pdf', 'documents/20124/761712/FAQ_on_Pembiayaan_Mikro_BM.pdf']"
https://www.bnm.gov.my/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration,[]
https://www.bnm.gov.my/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.,[]
https://www.bnm.gov.my/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-,['documents/20124/761712/ijarah_contract_20090715.pdf']
https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/ito_slides.pdf-target-blank-rel-noopener-%3E-tun-ismail-ali-chair-public-lecture-on-10-july-2009-by-prof.-dr.-takatoshi-ito-of-tokyo-university-presentation-slides-pdf-277kb-%3C/a%3E,['documents/20124/761712/ito_slides.pdf']
https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/smeag_leaflet_en.pdf-rel-noopener-target-blank-%3Esme-assistance-guarantee-scheme-faqs-leaflet%3C/a%3E,['documents/20124/761712/smeag_leaflet_en.pdf']
https://www.bnm.gov.my/-/microfinance-comparative-table-faqs,"['documents/20124/761712/FAQ_on_Pembiayaan_Mikro_English.pdf', 'documents/20124/761712/Comparative_table_on_Pembiayaan_Mikro_English.pdf']"
https://www.bnm.gov.my/-/%3Ca-href-/financial-consumer-alert-%3Esila-lihat-peringatan-untuk-konsumer-kewangan%3C/a%3E-1,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/new-guideline-concept-paper-on-shariah-parameter-reference-5-istisna-contract.,"['documents/20124/761709/20101228_S_G_0004_A01.pdf', 'documents/20124/761709/20101228_S_G_0004.pdf', 'documents/20124/761709/20101228_S_G_0004_A02.pdf']"
https://www.bnm.gov.my/-/guidelines-circulars-schedule-of-shariah-advisory-council-meetings-for-2011,[]
https://www.bnm.gov.my/-/notification-companies-which-are-no-longer-permitted-to-conduct-remittance-business-1,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-on-corporate-governance-for-licensed-institutions-and-minimum-standards-for-prudential-management-of-insurers-consolidated-,"['documents/20124/761709/20130619_B_PL_0014.pdf', 'documents/20124/761709/20101224_IAT_PL_0011.pdf']"
https://www.bnm.gov.my/-/financial-sector-talent-enrichment-programme-fstep-2011-intake,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-on-capital-adequacy-framework-for-islamic-banks-cafib-and-classification-and-impairment-provision-for-loans/financing,"['documents/20124/761709/20100101_B_CA_0008.pdf', 'documents/20124/761709/Classification_Impairment_Provisions_for_LoansFinancing_20150406.pdf']"
https://www.bnm.gov.my/-/new-guidelines-risk-weighted-capital-adequacy-framework-basel-ii-and-capital-adequacy-framework-for-islamic-banks-cafib-,"['documents/20124/761709/20130331_B_CA_0010.pdf', 'documents/20124/761709/20130331_B_CA_0009.pdf']"
https://www.bnm.gov.my/-/notification-companies-which-are-no-longer-permitted-to-conduct-remittance-business,[]
https://www.bnm.gov.my/-/newly-published-shariah-resolutions-in-islamic-finance-second-edition-book,['documents/20124/761709/shariah_resolutions_2nd_edition.pdf']
https://www.bnm.gov.my/notices-announcements/-/asset_publisher/XRQ5HftX94WW/content/governor-s-presentation-slides-at-the-regulators-forum-special-session-on-islamic-finance-and-financial-stability-report-enhancing-the-resilience-and-stability-of-the-islamic-financial-system-?_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId=1084358&amp;_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_redirect=https%3A%2F%2Fwww.bnm.gov.my%2Fnotices-announcements%3Fp_p_id%3Dcom_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_cur%3D0%26p_r_p_resetCur%3Dtrue%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId%3D1084358,['documents/20124/761709/slides_governor20101026.pdf']
https://www.bnm.gov.my/-/newly-updated-guidelines-on-shariah-governance-framework-for-islamic-financial-institutions,['documents/20124/761709/02_Shariah_Governance_Framework_20101026.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-september-issue-is-now-available-for-download.,['documents/20124/791000/9_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/the-2011-budget-speech-by-prime-minister-of-malaysia,"['documents/20124/761709/budget2011_en_attach.pdf', 'documents/20124/761709/budget2011_en.pdf']"
https://www.bnm.gov.my/-/newly-updated-individuals-wanted-by-bnm-suspected-for-committing-illegal-deposit-taking,[]
https://www.bnm.gov.my/-/newly-published-circular-on-issuance-of-special-employment-pass-for-islamic-finance-expatriates-under-the-malaysia-international-islamic-financial-centre-mifc-initiative,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-introduction-of-new-products-for-insurance-companies-and-takaful-operators,['documents/20124/761709/18_guidelines_newproducts.pdf']
https://www.bnm.gov.my/-/newly-updated-microfinance-comparative-table,['documents/20124/761709/Comparative_table_Aug10_ENGLISH.pdf']
https://www.bnm.gov.my/-/individuals-wanted-by-bnm-suspected-for-committing-illegal-deposit-taking,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-financial-reporting-for-insurers,[]
https://www.bnm.gov.my/-/over-1-million-people-visited-bank-negara-malaysia-s-website,[]
https://www.bnm.gov.my/-/newly-published-guideline-on-capital-adequacy-framework-for-islamic-banks-cafib-disclosure-requirements-pillar-3-,['documents/20124/761709/20100101_B_CA_0008.pdf']
https://www.bnm.gov.my/-/commemorative-coins-available-for-sale,[]
https://www.bnm.gov.my/-/pan-asian-csd-alliance-on-improvement-to-post-trade-processing-infrastructure,['documents/20124/761709/White+Paper+CPM+June+2010.pdf']
https://www.bnm.gov.my/-/concept-paper-on-shariah-governance-framework-for-islamic-financial-institutions,['documents/20124/761709/20110101_S_G_0001.pdf']
https://www.bnm.gov.my/-/call-for-public-feedback-proposed-basic-motor-cover-framework-update-outcome-of-public-consultation-1,['documents/20124/761709/Discussion_Paper_TPBID.pdf']
https://www.bnm.gov.my/-/the-2009-annual-insurance-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/press-release-issued-by-securities-commission-swisscash-court-approves-criteria-for-restitution,[]
https://www.bnm.gov.my/-/default-notice-19,['documents/20124/761709/AR2009briefing_sessions.pdf']
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-award-2010-/-2011-application-closed-,[]
https://www.bnm.gov.my/-/faqs-related-to-buying-or-selling-of-foreign-currency-and-faqs-related-to-money-changing-services,[]
https://www.bnm.gov.my/-/newly-published-notification-on-the-implementation-of-basel-iii,['documents/20124/761706/12_nt_007_25.pdf']
https://www.bnm.gov.my/-/new-act-money-services-business-act-2011-act731-1,[]
https://www.bnm.gov.my/-/key-events-at-sasana-kijang-and-lanai-kijang-november-december-2011-1,[]
https://www.bnm.gov.my/-/web-maintenance-21102011,[]
https://www.bnm.gov.my/-/download-the-2012-budget-speech-by-prime-minister-of-malaysia-now,"['documents/20124/761706/attachment_budget2012_en.pdf', 'documents/20124/761706/budget2012_en.pdf']"
