link,pdf_links
https://www.bnm.gov.my/-/concept-paper-3-mudarabah-bm,[]
https://www.bnm.gov.my/-/concept-paper-takaful-operational-framework,[]
https://www.bnm.gov.my/-/akta-bank-negara-malaysia-2009,['documents/20124/761712/cba2009_02.pdf']
https://www.bnm.gov.my/-/financial-adviser-list-16112009-bm,[]
https://www.bnm.gov.my/-/sertai-kajian-tahap-kepuasan-pengguna-laman-web-bnm-hari-ini-klik-untuk-maklumat-lanjut.,[]
https://www.bnm.gov.my/-/%3Ca-href-http-//beyondtheglobalcrisis.eu/conference.aspx-%3Easem-conference-beyond-the-global-crisis-a-new-asian-growth-model-%3C/a%3E,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/jadual-perbandingan-bagi-pembiayaan-mikro-telah-dikemaskini.,['documents/20124/761712/FAQ_on_Pembiayaan_Mikro_BM.pdf']
https://www.bnm.gov.my/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration,[]
https://www.bnm.gov.my/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.,[]
https://www.bnm.gov.my/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-,[]
https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/ito_slides.pdf-target-blank-rel-noopener-%3E-tun-ismail-ali-chair-public-lecture-on-10-july-2009-by-prof.-dr.-takatoshi-ito-of-tokyo-university-presentation-slides-pdf-277kb-%3C/a%3E,['documents/20124/761712/ito_slides.pdf']
https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/smeag_leaflet_en.pdf-rel-noopener-target-blank-%3Eskim-bantuan-jaminan-pks-soalan-lazim-risalah%3C/a%3E,['documents/20124/761712/smeag_leaflet_en.pdf']
https://www.bnm.gov.my/-/pembiayaan-mikro-jadual-perbandingan-soalan-lazim,"['documents/20124/761712/Comparative_table_on_Pembiayaan_Mikro_BM.pdf', 'documents/20124/761712/FAQ_on_Pembiayaan_Mikro_BM.pdf']"
https://www.bnm.gov.my/-/%3Ca-href-/financial-consumer-alert-%3Esila-lihat-peringatan-untuk-konsumer-kewangan%3C/a%3E-1,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/new-guideline-concept-paper-on-shariah-parameter-reference-5-istisna-contract.,[]
https://www.bnm.gov.my/-/guidelines-circulars-schedule-of-shariah-advisory-council-meetings-for-2011,[]
https://www.bnm.gov.my/-/pemberitahuan-syarikat-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang-1,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-on-corporate-governance-for-licensed-institutions-and-minimum-standards-for-prudential-management-of-insurers-consolidated-,[]
https://www.bnm.gov.my/-/financial-sector-talent-enrichment-programme-fstep-2011-intake,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-on-capital-adequacy-framework-for-islamic-banks-cafib-and-classification-and-impairment-provision-for-loans/financing,[]
https://www.bnm.gov.my/-/new-guidelines-risk-weighted-capital-adequacy-framework-basel-ii-and-capital-adequacy-framework-for-islamic-banks-cafib-,[]
https://www.bnm.gov.my/-/pemberitahuan-syarikat-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang,[]
https://www.bnm.gov.my/-/terbitan-terbaharu-buku-resolusi-syariah-dalam-kewangan-islam-edisi-kedua-,['documents/20124/761709/shariah_resolutions_2nd_edition.pdf']
https://www.bnm.gov.my/notices-announcements/-/asset_publisher/XRQ5HftX94WW/content/governor-s-presentation-slides-at-the-regulators-forum-special-session-on-islamic-finance-and-financial-stability-report-enhancing-the-resilience-and-stability-of-the-islamic-financial-system-?_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId=1084358&amp;_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_redirect=https%3A%2F%2Fwww.bnm.gov.my%2Fnotices-announcements%3Fp_p_id%3Dcom_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_cur%3D0%26p_r_p_resetCur%3Dtrue%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId%3D1084358,[]
https://www.bnm.gov.my/-/baharu-dikemaskini-garis-panduan-mengenai-shariah-governance-framework-for-islamic-financial-institutions-dalam-bahasa-inggeris-,['documents/20124/761709/02_Shariah_Governance_Framework_20101026.pdf']
