date,title,link
28 Dec 2009,Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed),https://www.bnm.gov.my/-/concept-paper-3-mudarabah
03 Dec 2009,Concept Paper - Guidelines on Takaful Operational Framework (closed),https://www.bnm.gov.my/-/concept-paper-guidelines-on-takaful-operational-framework-%3Cfont-color-red-%3E-closed-%3C/font%3E
25 Nov 2009,The Central Bank of Malaysia Act 2009,https://www.bnm.gov.my/-/the-central-bank-of-malaysia-act-2009
17 Nov 2009,List of Licensed Financial Advisers has been updated. Click to find out.,https://www.bnm.gov.my/-/financial-adviser-list-16112009
13 Nov 2009,Participate in BNM website's User Satisfaction Survey today! Click to find out. (closed),https://www.bnm.gov.my/-/survey-bnm
21 Oct 2009,"ASEM Conference : ""Beyond The Global Crisis : A New Asian Growth Model?""",https://www.bnm.gov.my/-/%3Ca-href-http-//beyondtheglobalcrisis.eu/conference.aspx-%3Easem-conference-beyond-the-global-crisis-a-new-asian-growth-model-%3C/a%3E
26 Aug 2009,Pembiayaan Mikro comparative table has been updated. Click to find out.,https://www.bnm.gov.my/-/pembiayaan-mikro-comparative-table-has-been-updated.-click-to-find-out.
13 Aug 2009,"ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration",https://www.bnm.gov.my/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration
13 Aug 2009,"BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.",https://www.bnm.gov.my/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.
14 Jul 2009,Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2),https://www.bnm.gov.my/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-
10 Jul 2009," Tun Ismail Ali Chair Public Lecture on 10 July 2009 by Prof. Dr. Takatoshi Ito of Tokyo University, Presentation Slides [PDF, 277KB]",https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/ito_slides.pdf-target-blank-rel-noopener-%3E-tun-ismail-ali-chair-public-lecture-on-10-july-2009-by-prof.-dr.-takatoshi-ito-of-tokyo-university-presentation-slides-pdf-277kb-%3C/a%3E
08 Jul 2009,"SME Assistance Guarantee Scheme , FAQs & Leaflet",https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/smeag_leaflet_en.pdf-rel-noopener-target-blank-%3Esme-assistance-guarantee-scheme-faqs-leaflet%3C/a%3E
07 Jul 2009,Microfinance Comparative Table & FAQs,https://www.bnm.gov.my/-/microfinance-comparative-table-faqs
01 Jul 2009,Sila lihat Peringatan Untuk Konsumer Kewangan,https://www.bnm.gov.my/-/%3Ca-href-/financial-consumer-alert-%3Esila-lihat-peringatan-untuk-konsumer-kewangan%3C/a%3E-1
29 Dec 2010,New Guideline: Concept Paper on Shariah Parameter Reference 5: Istisna' Contract.,https://www.bnm.gov.my/-/new-guideline-concept-paper-on-shariah-parameter-reference-5-istisna-contract.
29 Dec 2010,Guidelines & Circulars: Schedule of Shariah Advisory Council Meetings for 2011,https://www.bnm.gov.my/-/guidelines-circulars-schedule-of-shariah-advisory-council-meetings-for-2011
28 Dec 2010,Notification: Companies which are no longer permitted to conduct remittance business,https://www.bnm.gov.my/-/notification-companies-which-are-no-longer-permitted-to-conduct-remittance-business-1
27 Dec 2010,Newly updated: Guidelines on Corporate Governance for Licensed Institutions and Minimum Standards for Prudential Management of Insurers (Consolidated),https://www.bnm.gov.my/-/newly-updated-guidelines-on-corporate-governance-for-licensed-institutions-and-minimum-standards-for-prudential-management-of-insurers-consolidated-
20 Dec 2010,Financial Sector Talent Enrichment Programme (FSTEP): 2011 intake,https://www.bnm.gov.my/-/financial-sector-talent-enrichment-programme-fstep-2011-intake
17 Dec 2010,Newly updated: Guidelines on Capital Adequacy Framework for Islamic Banks (CAFIB) and Classification and Impairment Provision for Loans/Financing,https://www.bnm.gov.my/-/newly-updated-guidelines-on-capital-adequacy-framework-for-islamic-banks-cafib-and-classification-and-impairment-provision-for-loans/financing
08 Dec 2010,New Guidelines: Risk-Weighted Capital Adequacy Framework (Basel II) and Capital Adequacy Framework for Islamic Banks (CAFIB),https://www.bnm.gov.my/-/new-guidelines-risk-weighted-capital-adequacy-framework-basel-ii-and-capital-adequacy-framework-for-islamic-banks-cafib-
10 Nov 2010,Notification: Companies which are no longer permitted to conduct remittance business,https://www.bnm.gov.my/-/notification-companies-which-are-no-longer-permitted-to-conduct-remittance-business
27 Oct 2010,Newly published: Shariah Resolutions in Islamic Finance (Second Edition) Book,https://www.bnm.gov.my/-/newly-published-shariah-resolutions-in-islamic-finance-second-edition-book
26 Oct 2010,"Governor's Presentation Slides at the Regulators Forum - Special Session on Islamic Finance and Financial Stability Report: ""Enhancing the Resilience and Stability of the Islamic Financial System""",https://www.bnm.gov.my/notices-announcements/-/asset_publisher/XRQ5HftX94WW/content/governor-s-presentation-slides-at-the-regulators-forum-special-session-on-islamic-finance-and-financial-stability-report-enhancing-the-resilience-and-stability-of-the-islamic-financial-system-?_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId=1084358&amp;_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_redirect=https%3A%2F%2Fwww.bnm.gov.my%2Fnotices-announcements%3Fp_p_id%3Dcom_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_cur%3D0%26p_r_p_resetCur%3Dtrue%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId%3D1084358
26 Oct 2010,Newly updated: Guidelines on Shariah Governance Framework for Islamic Financial Institutions,https://www.bnm.gov.my/-/newly-updated-guidelines-on-shariah-governance-framework-for-islamic-financial-institutions
20 Oct 2010,RINGGIT Newsletter (September issue) is now available for download.,https://www.bnm.gov.my/-/ringgit-newsletter-september-issue-is-now-available-for-download.
15 Oct 2010,The 2011 Budget Speech by Prime Minister of Malaysia,https://www.bnm.gov.my/-/the-2011-budget-speech-by-prime-minister-of-malaysia
13 Oct 2010,Newly updated: Individuals Wanted by BNM -- Suspected for Committing Illegal Deposit Taking,https://www.bnm.gov.my/-/newly-updated-individuals-wanted-by-bnm-suspected-for-committing-illegal-deposit-taking
21 Sep 2010,Newly published: Circular on Issuance of Special Employment Pass for Islamic Finance Expatriates under the Malaysia International Islamic Financial Centre (MIFC) Initiative,https://www.bnm.gov.my/-/newly-published-circular-on-issuance-of-special-employment-pass-for-islamic-finance-expatriates-under-the-malaysia-international-islamic-financial-centre-mifc-initiative
26 Aug 2010,Newly published: Guidelines on Introduction of New Products for Insurance Companies and Takaful Operators,https://www.bnm.gov.my/-/newly-published-guidelines-on-introduction-of-new-products-for-insurance-companies-and-takaful-operators
25 Aug 2010,Newly updated: Microfinance Comparative Table,https://www.bnm.gov.my/-/newly-updated-microfinance-comparative-table
28 Jul 2010,Individuals Wanted by BNM -- Suspected for Committing Illegal Deposit Taking,https://www.bnm.gov.my/-/individuals-wanted-by-bnm-suspected-for-committing-illegal-deposit-taking
22 Jul 2010,Newly published: Guidelines on Financial Reporting for Insurers,https://www.bnm.gov.my/-/newly-published-guidelines-on-financial-reporting-for-insurers
15 Jul 2010,Over 1 million people visited Bank Negara Malaysia's website,https://www.bnm.gov.my/-/over-1-million-people-visited-bank-negara-malaysia-s-website
15 Jul 2010,Newly published: Guideline on Capital Adequacy Framework for Islamic Banks (CAFIB) - Disclosure Requirements (Pillar 3),https://www.bnm.gov.my/-/newly-published-guideline-on-capital-adequacy-framework-for-islamic-banks-cafib-disclosure-requirements-pillar-3-
16 Jun 2010,Commemorative Coins Available for Sale,https://www.bnm.gov.my/-/commemorative-coins-available-for-sale
04 Jun 2010,Pan-Asian CSD Alliance on improvement to post trade processing infrastructure,https://www.bnm.gov.my/-/pan-asian-csd-alliance-on-improvement-to-post-trade-processing-infrastructure
20 May 2010,Concept Paper on Shariah Governance Framework for Islamic Financial Institutions,https://www.bnm.gov.my/-/concept-paper-on-shariah-governance-framework-for-islamic-financial-institutions
23 Apr 2010,Call for Public Feedback: Proposed Basic Motor Cover Framework (Update: Outcome of Public Consultation),https://www.bnm.gov.my/-/call-for-public-feedback-proposed-basic-motor-cover-framework-update-outcome-of-public-consultation-1
21 Apr 2010,The 2009 Annual Insurance Statistics is now available.,https://www.bnm.gov.my/-/the-2009-annual-insurance-statistics-is-now-available.
15 Apr 2010,Press Release issued by Securities Commission: Swisscash - Court approves criteria for restitution,https://www.bnm.gov.my/-/press-release-issued-by-securities-commission-swisscash-court-approves-criteria-for-restitution
25 Mar 2010,Slides are now available for download: Briefing Sessions on Annual Report 2009 and Financial Stability & Payment Systems Report 2009,https://www.bnm.gov.my/-/default-notice-19
07 Mar 2010,Bank Negara Malaysia Scholarship Award 2010 / 2011 ( Application closed ),https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-award-2010-/-2011-application-closed-
07 Jan 2010,FAQs related to Buying or Selling of Foreign Currency and FAQs related to Money Changing Services.,https://www.bnm.gov.my/-/faqs-related-to-buying-or-selling-of-foreign-currency-and-faqs-related-to-money-changing-services
16 Dec 2011,Newly published: Notification on the Implementation of Basel III,https://www.bnm.gov.my/-/newly-published-notification-on-the-implementation-of-basel-iii
01 Dec 2011,New act: Money Services Business Act 2011 (Act731),https://www.bnm.gov.my/-/new-act-money-services-business-act-2011-act731-1
