date,title,link
28 Dis 2009,Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed),https://www.bnm.gov.my/-/concept-paper-3-mudarabah-bm
03 Dis 2009,Concept Paper - Guidelines on Takaful Operational Framework (closed),https://www.bnm.gov.my/-/concept-paper-takaful-operational-framework
25 Nov 2009,Akta Bank Negara Malaysia 2009,https://www.bnm.gov.my/-/akta-bank-negara-malaysia-2009
17 Nov 2009,Senarai Penasihat Kewangan telah dikemaskini. Sila klik untuk maklumat lanjut.,https://www.bnm.gov.my/-/financial-adviser-list-16112009-bm
13 Nov 2009,Sertai kajian Tahap Kepuasan Pengguna laman web BNM hari ini! Klik untuk maklumat lanjut.,https://www.bnm.gov.my/-/sertai-kajian-tahap-kepuasan-pengguna-laman-web-bnm-hari-ini-klik-untuk-maklumat-lanjut.
21 Okt 2009,"ASEM Conference : ""Beyond The Global Crisis : A New Asian Growth Model?""",https://www.bnm.gov.my/-/%3Ca-href-http-//beyondtheglobalcrisis.eu/conference.aspx-%3Easem-conference-beyond-the-global-crisis-a-new-asian-growth-model-%3C/a%3E
26 Ogos 2009,Jadual Perbandingan bagi Pembiayaan Mikro telah dikemaskini.,https://www.bnm.gov.my/-/jadual-perbandingan-bagi-pembiayaan-mikro-telah-dikemaskini.
13 Ogos 2009,"ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration",https://www.bnm.gov.my/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration
13 Ogos 2009,"BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.",https://www.bnm.gov.my/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.
14 Jul 2009,Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2),https://www.bnm.gov.my/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-
10 Jul 2009," Tun Ismail Ali Chair Public Lecture on 10 July 2009 by Prof. Dr. Takatoshi Ito of Tokyo University, Presentation Slides [PDF, 277KB]",https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/ito_slides.pdf-target-blank-rel-noopener-%3E-tun-ismail-ali-chair-public-lecture-on-10-july-2009-by-prof.-dr.-takatoshi-ito-of-tokyo-university-presentation-slides-pdf-277kb-%3C/a%3E
08 Jul 2009,"Skim Bantuan Jaminan PKS , Soalan Lazim & Risalah",https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/smeag_leaflet_en.pdf-rel-noopener-target-blank-%3Eskim-bantuan-jaminan-pks-soalan-lazim-risalah%3C/a%3E
07 Jul 2009,Pembiayaan Mikro Jadual Perbandingan & Soalan Lazim,https://www.bnm.gov.my/-/pembiayaan-mikro-jadual-perbandingan-soalan-lazim
01 Jul 2009,Sila lihat Peringatan Untuk Konsumer Kewangan,https://www.bnm.gov.my/-/%3Ca-href-/financial-consumer-alert-%3Esila-lihat-peringatan-untuk-konsumer-kewangan%3C/a%3E-1
29 Dis 2010,New Guideline: Concept Paper on Shariah Parameter Reference 5: Istisna' Contract.,https://www.bnm.gov.my/-/new-guideline-concept-paper-on-shariah-parameter-reference-5-istisna-contract.
