date,title,link,content
28 Dec 2009,Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed),https://www.bnm.gov.my/-/concept-paper-3-mudarabah,"









Reading:
Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed)

  Share:




    Shares
  




















Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed)
Release Date:   28 Dec 2009





Bank Negara Malaysia is in the midst of developing a set of 'Shariah Parameters' to provide a standard guidance on operationalizing and applying the Shariah contracts in Islamic finance. Identified Shariah contracts for purpose of the Shariah Parameter initiatives are Murabahah, Ijarah, Mudarabah, Musharakah, Istisna' and Wadiah. Concept papers for Murabahah and Ijarah parameters have been issued to relevant parties for feedback and comment.
This concept paper on Shariah Parameters Reference 3: Mudarabah Contract (SPR3) sets out the Shariah requirements for application of the Mudarabah contract. In this regard, Bank Negara Malaysia wishes to invite general public especially who have interest in Islamic finance to provide and submit written feedback on the concept paper by 29 January 2010.
The written feedback in the form of softcopy is preferable and may be submitted to hazim@bnm.gov.my or mohdfeqah@bnm.gov.my. The hardcopy of the written feedback may also be submitted to:
© 2024 Bank Negara Malaysia. All rights reserved.





"
03 Dec 2009,Concept Paper - Guidelines on Takaful Operational Framework (closed),https://www.bnm.gov.my/-/concept-paper-guidelines-on-takaful-operational-framework-%3Cfont-color-red-%3E-closed-%3C/font%3E,"


Key Rates & Statistics




Overnight Policy Rate

3.00
%

As of 
            7 Mar 2024
            



BNM International Reserves

113.4
USD bilion

As at 
            15 Apr 2024
            



Statutory Reserve Requirement 

2.00
%

            More info





Selected Market Indicators


Foreign Exchange Market 
MYR/USD midrate at noon
Latest Rates
Historical Lookup

4.7755


Govt Bond Market
MGS 10-yr yield close
Latest Rates

3.96%


Money Market (Conventional)
Malaysia Overnight Rate (MYOR)
Latest Rates

3.01%


Islamic Money Market
 Malaysia Islamic Overnight Rate (MYOR-i)
Latest Rates

3.00%


Gold Bullion Coin
Kijang Emas 1oz selling (RM)
More info

11,765






Selected Country Indicators


Real GDP Growth, y-o-y
(4th Quarter 2023)

3.0%


Consumer Price Index, y-o-y
(Feb 2024)

1.8%


Broad Money (M3)
(RM billion)
(Feb 2024)

2,423.1


Banking Loans to the Private Sector
(RM billion)
(Feb 2024)

2,341.4


Gross External Debt
(RM billion)
(4th Quarter 2023)

1,242.6
                    


Population
                      (million person)
(2023)

33.4
                    


Complete NSDP table








"
25 Nov 2009,The Central Bank of Malaysia Act 2009,https://www.bnm.gov.my/-/the-central-bank-of-malaysia-act-2009,"









Reading:
The Central Bank of Malaysia Act 2009

  Share:




    Shares
  




















The Central Bank of Malaysia Act 2009
Release Date:   25 Nov 2009





The Central Bank of Malaysia Act 2009 has come into force on 25 November 2009. With the coming into force of this Act, the Central Bank of Malaysia Act 1958 is repealed and thus, ceases to apply.
Although the Central Bank of Malaysia Act 1958 is repealed, all existing appointments, transactions, arrangements and subsidiary legislation made or any act done under the Central Bank of Malaysia Act 1958 shall be deemed to be made or done under the Central Bank of Malaysia Act 2009.
A copy of the Central Bank of Malaysia Act 2009 can be downloaded here.
© 2024 Bank Negara Malaysia. All rights reserved.





"
17 Nov 2009,List of Licensed Financial Advisers has been updated. Click to find out.,https://www.bnm.gov.my/-/financial-adviser-list-16112009,"









Reading:
List of Licensed Financial Advisers has been updated. Click to find out.

  Share:




    Shares
  




















List of Licensed Financial Advisers has been updated. Click to find out.
Release Date:   17 Nov 2009





We have updated the List of Licensed Financial Advisers. The list is up to date as of 2009-11-17.
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
13 Nov 2009,Participate in BNM website's User Satisfaction Survey today! Click to find out. (closed),https://www.bnm.gov.my/-/survey-bnm,"









Reading:
Participate in BNM website's User Satisfaction Survey today! Click to find out. (closed)

  Share:




    Shares
  




















Participate in BNM website's User Satisfaction Survey today! Click to find out. (closed)
Release Date:   13 Nov 2009





Help us make our web site more responsive to your needs by submitting your feedback in this survey.

http://bnmsurvey.questionpro.com/
© 2024 Bank Negara Malaysia. All rights reserved.





"
21 Oct 2009,"ASEM Conference : ""Beyond The Global Crisis : A New Asian Growth Model?""",https://www.bnm.gov.my/-/%3Ca-href-http-//beyondtheglobalcrisis.eu/conference.aspx-%3Easem-conference-beyond-the-global-crisis-a-new-asian-growth-model-%3C/a%3E,"


Key Rates & Statistics




Overnight Policy Rate

3.00
%

As of 
            7 Mar 2024
            



BNM International Reserves

113.4
USD bilion

As at 
            15 Apr 2024
            



Statutory Reserve Requirement 

2.00
%

            More info





Selected Market Indicators


Foreign Exchange Market 
MYR/USD midrate at noon
Latest Rates
Historical Lookup

4.7755


Govt Bond Market
MGS 10-yr yield close
Latest Rates

3.96%


Money Market (Conventional)
Malaysia Overnight Rate (MYOR)
Latest Rates

3.01%


Islamic Money Market
 Malaysia Islamic Overnight Rate (MYOR-i)
Latest Rates

3.00%


Gold Bullion Coin
Kijang Emas 1oz selling (RM)
More info

11,765






Selected Country Indicators


Real GDP Growth, y-o-y
(4th Quarter 2023)

3.0%


Consumer Price Index, y-o-y
(Feb 2024)

1.8%


Broad Money (M3)
(RM billion)
(Feb 2024)

2,423.1


Banking Loans to the Private Sector
(RM billion)
(Feb 2024)

2,341.4


Gross External Debt
(RM billion)
(4th Quarter 2023)

1,242.6
                    


Population
                      (million person)
(2023)

33.4
                    


Complete NSDP table








"
26 Aug 2009,Pembiayaan Mikro comparative table has been updated. Click to find out.,https://www.bnm.gov.my/-/pembiayaan-mikro-comparative-table-has-been-updated.-click-to-find-out.,"









Reading:
Pembiayaan Mikro comparative table has been updated. Click to find out.

  Share:




    Shares
  




















Pembiayaan Mikro comparative table has been updated. Click to find out.
Release Date:   26 Aug 2009





A sustainable microfinance scheme, where participating financial institutions offer microfinance products that are easy, fast and convenient to micro enterprises with viable businesses.
See also: Comparative Table (English) | (Bahasa Malaysia) [PDF, 64K], FAQs (English) | (Bahasa Malaysia) [PDF, 102K ]
© 2024 Bank Negara Malaysia. All rights reserved.





"
13 Aug 2009,"ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration",https://www.bnm.gov.my/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration,"









Reading:
ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration

  Share:




    Shares
  




















ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration
Release Date:   13 Aug 2009






Sorry, no contents available
© 2024 Bank Negara Malaysia. All rights reserved.





"
13 Aug 2009,"BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.",https://www.bnm.gov.my/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.,"









Reading:
BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.

  Share:




    Shares
  




















BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.
Release Date:   13 Aug 2009






Sorry, no contents available
© 2024 Bank Negara Malaysia. All rights reserved.





"
14 Jul 2009,Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2),https://www.bnm.gov.my/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-,"









Reading:
Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2)

  Share:




    Shares
  




















Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2)
Release Date:   14 Jul 2009





Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2)
Bank Negara Malaysia is developing a set of ""Shariah Parameters"" to provide a standard guidance on operationalizing and applying the Shariah contracts in Islamic finance. A parameter is a measure, criteria and item of reference used to dissemble, compare or benchmark practices. The guidance documents set out the Shariah requirements for the contracts of Murabahah, Ijarah, Mudarabah, Musharakah, Istisna' and Wadiah. Shariah Parameter Reference 1: Murabahah Contract (SPR1) will be issued soon. Concept paper on the parameters for the remaining Shariah contracts will be issued for feedback and comment from time to time. This concept paper on Shariah Parameters Reference 2: Ijarah Contract (SPR2) sets out the Shariah requirements for application of the Ijarah contract. Bank Negara Malaysia wishes to invite written feedback from public on the concept paper to the Bank by 10th August 2009.
The written feedback in the form of softcopy is preferable and may be submitted to e-mail addresses hazim@bnm.gov.my or mohdhairi@bnm.gov.my. The hardcopy of the written feedback may also be submitted to:

Pengarah
Jabatan Perbankan Islam dan Takaful
Tingkat 6, Blok A,
Bank Negara Malaysia
Jalan Dato' Onn,
50480 Kuala Lumpur.

Should there be any queries on the concept paper, please contact Encik Ahmad Hazim Alias or Encik Mohd Hairi Mohd Tahir via email addresses hazim@bnm.gov.my or mohdhairi@bnm.gov.my. 
Issuing Department
Islamic Banking & Takaful Department
Download Attachment(s)

Attachment 1 - Concept Paper (PDF, 360KB)
Attachment 2 - Feedback Form (DOC, 32KB)

© 2024 Bank Negara Malaysia. All rights reserved.





"
