date,title,link,link_opt,content
28 Dis 2009,Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed),https://www.bnm.gov.my/-/concept-paper-3-mudarabah-bm,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/concept-paper-3-mudarabah-bm&languageId=ms_MY,"









Reading:
Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed)

  Share:




    Shares
  




















Concept Paper on Shariah Parameter Reference 3: Mudarabah Contract (closed)
Tarikh Siaran:   28 Dis 2009





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
03 Dis 2009,Concept Paper - Guidelines on Takaful Operational Framework (closed),https://www.bnm.gov.my/-/concept-paper-takaful-operational-framework,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/concept-paper-takaful-operational-framework&languageId=ms_MY,"









Reading:
Concept Paper - Guidelines on Takaful Operational Framework (closed)

  Share:




    Shares
  




















Concept Paper - Guidelines on Takaful Operational Framework (closed)
Tarikh Siaran:   03 Dis 2009





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
25 Nov 2009,Akta Bank Negara Malaysia 2009,https://www.bnm.gov.my/-/akta-bank-negara-malaysia-2009,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/akta-bank-negara-malaysia-2009&languageId=ms_MY,"









Reading:
Akta Bank Negara Malaysia 2009

  Share:




    Shares
  




















Akta Bank Negara Malaysia 2009
Tarikh Siaran:   25 Nov 2009





Akta Bank Negara Malaysia 2009 telah mula berkuat kuasa pada 25 November 2009. Berikutan penguatkuasaan Akta ini, Akta Bank Negara Malaysia 1958 adalah dimansuhkan  dan tidak lagi terpakai.
Walaupun Akta Bank Negara Malaysia 1958 telah dimansuhkan, kesemua pelantikan, transaksi, perkiraan, perundangan subsidiari sedia ada yang dibuat atau apa-apa perbuatan yang dilakukan di bawah Akta Bank Negara Malaysia 1958 hendaklah disifatkan sebagai dibuat di bawah Akta Bank Negara Malaysia 2009.
Salinan Akta Bank Negara Malaysia 2009 ini boleh dimuat turun di sini.
© 2024 Bank Negara Malaysia. All rights reserved.





"
17 Nov 2009,Senarai Penasihat Kewangan telah dikemaskini. Sila klik untuk maklumat lanjut.,https://www.bnm.gov.my/-/financial-adviser-list-16112009-bm,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/financial-adviser-list-16112009-bm&languageId=ms_MY,"









Reading:
Senarai Penasihat Kewangan telah dikemaskini. Sila klik untuk maklumat lanjut.

  Share:




    Shares
  




















Senarai Penasihat Kewangan telah dikemaskini. Sila klik untuk maklumat lanjut.
Tarikh Siaran:   17 Nov 2009





Kami telah mengemaskini Senarai Penasihat Kewangan yang Diluluskan. (List of Licensed Financial Advisers) Tarikh dikemaskini adalah: 2009-11-17.
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
13 Nov 2009,Sertai kajian Tahap Kepuasan Pengguna laman web BNM hari ini! Klik untuk maklumat lanjut.,https://www.bnm.gov.my/-/sertai-kajian-tahap-kepuasan-pengguna-laman-web-bnm-hari-ini-klik-untuk-maklumat-lanjut.,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/sertai-kajian-tahap-kepuasan-pengguna-laman-web-bnm-hari-ini-klik-untuk-maklumat-lanjut.&languageId=ms_MY,"









Reading:
Sertai kajian Tahap Kepuasan Pengguna laman web BNM hari ini! Klik untuk maklumat lanjut.

  Share:




    Shares
  




















Sertai kajian Tahap Kepuasan Pengguna laman web BNM hari ini! Klik untuk maklumat lanjut.
Tarikh Siaran:   13 Nov 2009





Berikan pendapat anda dalam kajian untuk membantu kami menambah baik kualiti laman web ini supaya lebih bermanfaat kepada anda.
© 2024 Bank Negara Malaysia. All rights reserved.





"
21 Okt 2009,"ASEM Conference : ""Beyond The Global Crisis : A New Asian Growth Model?""",https://www.bnm.gov.my/-/%3Ca-href-http-//beyondtheglobalcrisis.eu/conference.aspx-%3Easem-conference-beyond-the-global-crisis-a-new-asian-growth-model-%3C/a%3E,https://www.bnm.gov.my/c/portal/update_language?p_l_id=2&redirect=/home&languageId=ms_MY,"


Kadar & Statistik Utama




Kadar Dasar Semalaman

3.00
%

Mulai 
            7 Mac 2024
            



Rizab Antarabangsa BNM

113.4
USD bilion

Pada 
            15 Apr 2024
            



Keperluan Rizab Berkanun

2.00
%

            Maklumat lanjut





Penunjuk Pasaran Terpilih


Pasaran Pertukaran Asing
Kadar tengah MYR/USD 12pm
Kadar Terkini
Carian Data Terdahulu

4.7415


Pasaran Bon Kerajaan
Hasil SKM 10-tahun di penutup
Kadar Terkini

3.94%


Pasaran Wang (Konvensional)
Kadar Semalaman Malaysia (MYOR)
Kadar Terkini

3.00%


Pasaran Wang Islam
 Kadar Semalaman Islamik Malaysia (MYOR-i)
Kadar Terkini

3.00%


Syiling Emas Bulion
Kijang Emas 1oz jualan (RM)
Maklumat lanjut

11,526






Penunjuk Terpilih Negara


Pertumbuhan KDNK Benar, t-k-t
(Suku Keempat 2023)

3.0%


Indeks Harga Pengguna, t-k-t
(Mac 2024)

1.8%


Wang Secara Meluas (M3)
(RM bilion)
(Mac 2024)

2,423.4


Pinjaman Sistem Perbankan kepada Sektor Swasta
(RM bilion)
(Mac 2024)

2,351.4


Hutang Luar Negeri Kasar
(RM bilion)
(Suku Keempat 2023)

1,242.6
                    


Jumlah Penduduk
                      (juta orang)
(2023)

33.4
                    


Jadual Lengkap NSDP








"
26 Ogos 2009,Jadual Perbandingan bagi Pembiayaan Mikro telah dikemaskini.,https://www.bnm.gov.my/-/jadual-perbandingan-bagi-pembiayaan-mikro-telah-dikemaskini.,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/jadual-perbandingan-bagi-pembiayaan-mikro-telah-dikemaskini.&languageId=ms_MY,"









Reading:
Jadual Perbandingan bagi Pembiayaan Mikro telah dikemaskini.

  Share:




    Shares
  




















Jadual Perbandingan bagi Pembiayaan Mikro telah dikemaskini.
Tarikh Siaran:   26 Ogos 2009





Lihat Jadual Perbandingan dan Soalan-soalan Lazim
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
13 Ogos 2009,"ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration",https://www.bnm.gov.my/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/asem-conference-beyond-the-global-crisis-a-new-asian-growth-model.-18-20-october-2009-kuala-lumpur.-click-for-more-information-and-registration&languageId=ms_MY,"









Reading:
ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration

  Share:




    Shares
  




















ASEM Conference - Beyond the Global Crisis: A New Asian Growth Model. 18-20 October 2009, Kuala Lumpur. Click for more information and registration
Tarikh Siaran:   13 Ogos 2009





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
13 Ogos 2009,"BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.",https://www.bnm.gov.my/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/bnm-seacen-banking-and-financial-law-school-2009-24-25-september-2009.-please-click-on-the-link-for-details-and-registration.&languageId=ms_MY,"









Reading:
BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.

  Share:




    Shares
  




















BNM-SEACEN Banking and Financial Law School 2009, 24-25 September 2009. Please click on the link for details and registration.
Tarikh Siaran:   13 Ogos 2009





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
14 Jul 2009,Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2),https://www.bnm.gov.my/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/call-for-feedback-concept-paper-on-shariah-parameter-reference-2-ijarah-contract-spr2-&languageId=ms_MY,"









Reading:
Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2)

  Share:




    Shares
  




















Call for feedback: Concept Paper on Shariah Parameter Reference 2: Ijarah Contract (SPR2)
Tarikh Siaran:   14 Jul 2009





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
