link,Auction date/time,Land Used,State,District,Reserved Price (RM),Tenure
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44426,"22/02/2024, 09:00:00 am",Building,Wilayah Persekutuan Kuala Lumpur,Daerah  Kuala Lumpur,"291,600.00",Leasehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44315,"22/02/2024, 09:00:00 am",Building,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"200,000.00",Leasehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44719,"22/02/2024, 09:00:00 am",Building,Kedah,Kuala Muda,"135,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43668,"22/02/2024, 09:00:00 am",Building,Kedah,Kuala Muda,"340,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43669,"22/02/2024, 09:00:00 am",Building,Kedah,Kulim,"306,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43671,"22/02/2024, 09:00:00 am",Building,Kedah,Kuala Muda,"280,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43672,"22/02/2024, 09:00:00 am",Building,Kedah,Kuala Muda,"135,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43451,"22/02/2024, 09:00:00 am",Building,Kedah,Kuala Muda,"126,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43452,"22/02/2024, 09:00:00 am",Building,Kedah,Kuala Muda,"225,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44237,"22/02/2024, 09:00:00 am",Building,Negeri Sembilan,Port Dickson,"263,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44429,"22/02/2024, 09:00:00 am",Building,Pahang,Kuantan,"230,000.00",Freehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44430,"22/02/2024, 09:00:00 am",Building,Pahang,Rompin,"260,000.00",Leasehold
https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44224,"22/02/2024, 09:00:00 am",Building,Pahang,Maran,"239,148.45",Leasehold
