Case Number,Proceeding ID,Reserved Price (RM),Number of Properties in Auction,Auction Date/Time,Number of Auction,Deposit (Refundable),Address,Lot Number,Parcel Number,Storey Number,Building Number,State,Mukim,District,Coordinate GPS,Property Type,Land Title,Tenure,Built Up (Sf),Land Size (ft²),Land Size (m²),Reserved Area (Malay Reserve/Lot Bumi),Caveat,link,Document,Land Size (acre),Land Size (hectare)
WA-38-1688-09/2023,535ceac1-a75c-4c01-9a47-8859f5906c30," RM 260,000.00",1,"05/03/2024, 09",1,"RM 26,000.00","Unit No. 26B-3, Faber Indah Apartment, Jalan Desa Cantik, Taman Desa, 58100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 35287,119,4,M2,Wilayah Persekutuan Kuala Lumpur,KUALA LUMPUR,KUALA LUMPUR,,Apartment,Building,Freehold,517,517.000000,48.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/41475,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=01ee5e13-474a-4b23-b912-1f4209585c6f&Inline=true,,
WA-38-1847-10/2023,0f8b763c-3a29-42e8-9b7c-22ed422d095b," RM 1,800,000.00",1,"05/03/2024, 09",1,"RM 180,000.00","No. 32,, Jalan Daun Inai 17, Sunway SPK Damansara, 52200, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",PT 20133,N/A,N/A,N/A,Wilayah Persekutuan Kuala Lumpur,Batu,Kuala Lumpur,,Terrace,Building,Freehold,0,"2,239.000000",208.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/42633,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=6f865d8b-36c5-4c8e-b4b2-5cab641e5900&Inline=true,,
WA-38-1869-10/2023,4258f509-b06f-4b0a-af3e-a5486c537eab," RM 1,300,000.00",1,"05/03/2024, 09",1,"RM 130,000.00","Unit No. C-15-5, Kiara 9 Residency, No. 22, Jalan Kiara 3, Mont Kiara, 50480, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 68012,46,14,M1(bersama Petak Aks,Wilayah Persekutuan Kuala Lumpur,Batu,Kuala Lumpur,,Condominium,Building,Freehold,0,"2,691.000000",250.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/42630,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=539b1707-f622-41da-8dcf-a327f0f5a405&Inline=true,,
WA-38-2188-11/2023,6d521508-4cca-449c-8962-e83e56f2f7db," RM 220,000.00",1,"05/03/2024, 09",1,"RM 22,000.00","UNIT NO C-12-20, APARTMENT SRI RAKYAT, JALAN 14/155C, BUKIT JALIL, 57000, KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur",LOT 101147,M3,13,1034,Wilayah Persekutuan Kuala Lumpur,MUKIM PETALING,KUALA LUMPUR,,Apartment,Building,Freehold,0,667.000000,62.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44802,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=efbb04f3-2b53-4d93-8047-14a652915e9f&Inline=true,,
WA-38-2199-11/2023,0d9b1156-bea7-4b4a-a254-adf7a352c164," RM 500,000.00",1,"05/03/2024, 09",1,"RM 50,000.00","Unit No. E1A-15-9, Block A, The Tamarind, Jalan Sentul Indah, 51100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 285 Seksyen 84,146,15,M1A,Wilayah Persekutuan Kuala Lumpur,Bandar Kuala Lumpur,Kuala Lumpur,,Condominium,Building,Freehold,0,"1,109.000000",103.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44941,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=c4a8e300-d6b4-4412-b115-2ef09a075da1&Inline=true,,
WA-38-2210-11/2023,1d85e996-e470-4a99-a5c2-5a5ad1f44480," RM 1,300,000.00",1,"05/03/2024, 09",1,"RM 130,000.00","Unit No. S-1-51, The Scott Garden (Kompleks Rimbun Scott), No. 289, Jalan Klang Lama, 58000, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 480188,33,3,M1,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,,Shop-Lot,Building,Freehold,161,"1,733.000000",161.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44805,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f8bcb783-19ca-49c3-9143-2613638c37cd&Inline=true,,
WA-38-2418-11/2023,f4a58b68-3dde-4d94-a5e5-bb15f3efeaac," RM 1,611,000.00",1,"05/03/2024, 09",1,"RM 161,100.00","No. D-9-8, Block D, Megan Avenue 1, No. 189, Jalan Tun Razak, 50400, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 162 Seksyen 43,351,9,M1D,Wilayah Persekutuan Kuala Lumpur,Bandar Kuala Lumpur,Kuala Lumpur,,Office Building,Building,Freehold,1,"3,208.000000",298.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44832,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d400e351-8304-4ddd-ae9f-b36975e27afd&Inline=true,,
WA-38-306-02/2023,b0652ac0-da84-418a-be59-0f72a7e6943e," RM 290,000.00",1,"05/03/2024, 09",1,"RM 29,000.00","Unit No. 12-7-4, 7th Floor, Block 12, Petaling Indah Condominium, Jalan 1C/149, Off Jalan Sungai Besi, 57100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",37205,228,8,M2,Wilayah Persekutuan Kuala Lumpur,Petaling,Kuala Lumpur,,Condominium,Building,Leasehold,893,893.400000,83.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45126,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=278e0343-a55b-4523-8743-e50c23c6d2cd&Inline=true,,
KA-38-256-10/2023,44e375f1-9fb2-4a78-848a-057ce34a9963," RM 440,000.00",1,"05/03/2024, 09",1,"RM 44,000.00","No. 158, Jalan Sinaran, Taman Sinaran, Jalan Kilang Tebu, 05050, Alor Setar, Kedah",Lot 1126 Seksyen 49,N/A,N/A,N/A,Kedah,Bandar Alor Setar,Kota Setar,,Terrace,Building,Freehold,0,"1,356.000000",126.000000,Pengisytiharan Rezab Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45346,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=18f7bb97-9c14-4593-91c1-b6bc0f40c293&Inline=true,,
KA-38-305-11/2023,d3ada8a9-4ea4-4a83-86fe-8a9e364c730e," RM 560,000.00",1,"05/03/2024, 09",1,"RM 56,000.00","NO. 913, JALAN SIMFONI WEST 5, TAMAN TUNKU INTAN SAFINAZ, 06000, JITRA, Kedah",PT 6094,N/A,N/A,N/A,Kedah,BANDAR DARUL AMAN,KUBANG PASU,,Terrace,Building,Freehold,0,"3,735.000000",347.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44513,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=b7338ae4-d00b-4d9b-be39-e397a92efcfc&Inline=true,,
