0,1,2,3,4,5,6
ahia,[A.hi.jAâ],kata adjektif,"tegas dan tidak mudah mengalah (terhadap sesuatu keputusan atau pegangan yang diambil), keras hati.","Hang tok sah dok ajak diala, saheh dia tak mau pi pasai hati dia ahia.",[hAN to/ sAh do/ A.dZA/ di.jA.lA sA.hEh di.jA tA/ mAw pi ],"Tak usahlah kamu ajak, dia tetap tidak akan pergi kerana keras hatinya."
agaq-agaq liat,[A.gAâÖ.A.gAâÖ li.jAt],"sejenis kuih yang dibuat daripada agar-agar yang dimasak bersama-sama gula, batu benang sila dan daun pandan.",,,,
agaq-agaq kerin,[A.gAâÖ.A.gAâÖ k«.Òin],"sejenis kuih yang dibuat daripada agar-agar yang dimasak dengan gula batu, dibekukan, dipotong nipis-nipis dan kemudiannya dijemur.",,,,
agaq-agaq gulong,[A.gAâÖ.A.gAâÖ gu.loN],"sejenis kuih yang dibuat daripada agar-agar, gula yang dimasak pekat, dibekukan dan digulung.",,,,
agaq-agaq basah,[A.gAâÖ.A.gAâÖ bA.sAh],sejenis kuih yang dibuat daripada agar-agar yang dicampur dengan gula.,,,,
adang,[A.dAN],kata nama,"pengadang, pendinding, tangkal atau azimat.",,,
adan,[A.dAn],kata nama,"pengadang yang dipasang di pintu, tangga dan sebagainya, untuk menyekat kanak-kanak keluar rumah.",Mak buboh adan depan pintu tak bagi adek keluaq rumah.,[mA/ bu.boh A.dAn d«.pAn pin.tu tA/ bA.gi A.de/ k«.lu.wAâÖ ],Ibu memasang pengadang di pintu supaya adik tidak dapat keluar rumah
acilut,[A.Si.lut],kata nama,"sejenis permainan kejar-mengejar, cekup puyuh.",Maen acilut ataeh darat buleh dalam ayaq pon buleh.,[mAEn A.Si.lut A.tAEh dA.ÒAt bu.leh dA.lAm A.jAâÖ pon bu.leh],Bermain acilut boleh di darat atau di air.
acaq,[A.tSAâÖ],kata nama,"takungan air kotor, biasanya di luar rumah sebelah dapur, limbahan.",Bau acaq tepi rumah tu busuk.,[bAw A.tSAâÖ t«.pi Òu.mAh tu bu.su/],Bau limbahan di tepi rumah itu busuk.
dapoq,[dA.pâÖ],kata nama,"1. ukuran tradisional bagi keluasan tanah, iaitu satu jemba lebar dan satu jemba panjang, bersamaan dengan 19.2 meter (64 kaki) persegi (Catatan: satu relung bersamaan dengan 484 dapoq).",Depa dapat hareta pesaka sorang serelong lima puloh dapoq.,[dE.pA dA.pAt hA.Ò«.tA p«.sA.kA s.ÒAN s«.Ò«.loN li.mA pu.loh dA.pâÖ],Mereka mendapat harta pesaka sebanyak satu relung lima puluh jemba setiap orang.
ahia,[A.hi.jAâ],kata adjektif,"tegas dan tidak mudah mengalah (terhadap sesuatu keputusan atau pegangan yang diambil), keras hati.","Hang tok sah dok ajak diala, saheh dia tak mau pi pasai hati dia ahia.",[hAN to/ sAh do/ A.dZA/ di.jA.lA sA.hEh di.jA tA/ mAw pi ],"Tak usahlah kamu ajak, dia tetap tidak akan pergi kerana keras hatinya."
agaq-agaq liat,[A.gAâÖ.A.gAâÖ li.jAt],"sejenis kuih yang dibuat daripada agar-agar yang dimasak bersama-sama gula, batu benang sila dan daun pandan.",,,,
agaq-agaq kerin,[A.gAâÖ.A.gAâÖ k«.Òin],"sejenis kuih yang dibuat daripada agar-agar yang dimasak dengan gula batu, dibekukan, dipotong nipis-nipis dan kemudiannya dijemur.",,,,
agaq-agaq gulong,[A.gAâÖ.A.gAâÖ gu.loN],"sejenis kuih yang dibuat daripada agar-agar, gula yang dimasak pekat, dibekukan dan digulung.",,,,
agaq-agaq basah,[A.gAâÖ.A.gAâÖ bA.sAh],sejenis kuih yang dibuat daripada agar-agar yang dicampur dengan gula.,,,,
adang,[A.dAN],kata nama,"pengadang, pendinding, tangkal atau azimat.",,,
adan,[A.dAn],kata nama,"pengadang yang dipasang di pintu, tangga dan sebagainya, untuk menyekat kanak-kanak keluar rumah.",Mak buboh adan depan pintu tak bagi adek keluaq rumah.,[mA/ bu.boh A.dAn d«.pAn pin.tu tA/ bA.gi A.de/ k«.lu.wAâÖ ],Ibu memasang pengadang di pintu supaya adik tidak dapat keluar rumah
acilut,[A.Si.lut],kata nama,"sejenis permainan kejar-mengejar, cekup puyuh.",Maen acilut ataeh darat buleh dalam ayaq pon buleh.,[mAEn A.Si.lut A.tAEh dA.ÒAt bu.leh dA.lAm A.jAâÖ pon bu.leh],Bermain acilut boleh di darat atau di air.
acaq,[A.tSAâÖ],kata nama,"takungan air kotor, biasanya di luar rumah sebelah dapur, limbahan.",Bau acaq tepi rumah tu busuk.,[bAw A.tSAâÖ t«.pi Òu.mAh tu bu.su/],Bau limbahan di tepi rumah itu busuk.
dapoq,[dA.pâÖ],kata nama,"1. ukuran tradisional bagi keluasan tanah, iaitu satu jemba lebar dan satu jemba panjang, bersamaan dengan 19.2 meter (64 kaki) persegi (Catatan: satu relung bersamaan dengan 484 dapoq).",Depa dapat hareta pesaka sorang serelong lima puloh dapoq.,[dE.pA dA.pAt hA.Ò«.tA p«.sA.kA s.ÒAN s«.Ò«.loN li.mA pu.loh dA.pâÖ],Mereka mendapat harta pesaka sebanyak satu relung lima puluh jemba setiap orang.
ahia,[A.hi.jAâ],kata adjektif,"tegas dan tidak mudah mengalah (terhadap sesuatu keputusan atau pegangan yang diambil), keras hati.","Hang tok sah dok ajak diala, saheh dia tak mau pi pasai hati dia ahia.",[hAN to/ sAh do/ A.dZA/ di.jA.lA sA.hEh di.jA tA/ mAw pi ],"Tak usahlah kamu ajak, dia tetap tidak akan pergi kerana keras hatinya."
agaq-agaq liat,[A.gAâÖ.A.gAâÖ li.jAt],"sejenis kuih yang dibuat daripada agar-agar yang dimasak bersama-sama gula, batu benang sila dan daun pandan.",,,,
agaq-agaq kerin,[A.gAâÖ.A.gAâÖ k«.Òin],"sejenis kuih yang dibuat daripada agar-agar yang dimasak dengan gula batu, dibekukan, dipotong nipis-nipis dan kemudiannya dijemur.",,,,
agaq-agaq gulong,[A.gAâÖ.A.gAâÖ gu.loN],"sejenis kuih yang dibuat daripada agar-agar, gula yang dimasak pekat, dibekukan dan digulung.",,,,
agaq-agaq basah,[A.gAâÖ.A.gAâÖ bA.sAh],sejenis kuih yang dibuat daripada agar-agar yang dicampur dengan gula.,,,,
adang,[A.dAN],kata nama,"pengadang, pendinding, tangkal atau azimat.",,,
adan,[A.dAn],kata nama,"pengadang yang dipasang di pintu, tangga dan sebagainya, untuk menyekat kanak-kanak keluar rumah.",Mak buboh adan depan pintu tak bagi adek keluaq rumah.,[mA/ bu.boh A.dAn d«.pAn pin.tu tA/ bA.gi A.de/ k«.lu.wAâÖ ],Ibu memasang pengadang di pintu supaya adik tidak dapat keluar rumah
acilut,[A.Si.lut],kata nama,"sejenis permainan kejar-mengejar, cekup puyuh.",Maen acilut ataeh darat buleh dalam ayaq pon buleh.,[mAEn A.Si.lut A.tAEh dA.ÒAt bu.leh dA.lAm A.jAâÖ pon bu.leh],Bermain acilut boleh di darat atau di air.
acaq,[A.tSAâÖ],kata nama,"takungan air kotor, biasanya di luar rumah sebelah dapur, limbahan.",Bau acaq tepi rumah tu busuk.,[bAw A.tSAâÖ t«.pi Òu.mAh tu bu.su/],Bau limbahan di tepi rumah itu busuk.
dapoq,[dA.pâÖ],kata nama,"1. ukuran tradisional bagi keluasan tanah, iaitu satu jemba lebar dan satu jemba panjang, bersamaan dengan 19.2 meter (64 kaki) persegi (Catatan: satu relung bersamaan dengan 484 dapoq).",Depa dapat hareta pesaka sorang serelong lima puloh dapoq.,[dE.pA dA.pAt hA.Ò«.tA p«.sA.kA s.ÒAN s«.Ò«.loN li.mA pu.loh dA.pâÖ],Mereka mendapat harta pesaka sebanyak satu relung lima puluh jemba setiap orang.
ahia,[A.hi.jAâ],kata adjektif,"tegas dan tidak mudah mengalah (terhadap sesuatu keputusan atau pegangan yang diambil), keras hati.","Hang tok sah dok ajak diala, saheh dia tak mau pi pasai hati dia ahia.",[hAN to/ sAh do/ A.dZA/ di.jA.lA sA.hEh di.jA tA/ mAw pi ],"Tak usahlah kamu ajak, dia tetap tidak akan pergi kerana keras hatinya."
agaq-agaq liat,[A.gAâÖ.A.gAâÖ li.jAt],"sejenis kuih yang dibuat daripada agar-agar yang dimasak bersama-sama gula, batu benang sila dan daun pandan.",,,,
agaq-agaq kerin,[A.gAâÖ.A.gAâÖ k«.Òin],"sejenis kuih yang dibuat daripada agar-agar yang dimasak dengan gula batu, dibekukan, dipotong nipis-nipis dan kemudiannya dijemur.",,,,
agaq-agaq gulong,[A.gAâÖ.A.gAâÖ gu.loN],"sejenis kuih yang dibuat daripada agar-agar, gula yang dimasak pekat, dibekukan dan digulung.",,,,
agaq-agaq basah,[A.gAâÖ.A.gAâÖ bA.sAh],sejenis kuih yang dibuat daripada agar-agar yang dicampur dengan gula.,,,,
adang,[A.dAN],kata nama,"pengadang, pendinding, tangkal atau azimat.",,,
adan,[A.dAn],kata nama,"pengadang yang dipasang di pintu, tangga dan sebagainya, untuk menyekat kanak-kanak keluar rumah.",Mak buboh adan depan pintu tak bagi adek keluaq rumah.,[mA/ bu.boh A.dAn d«.pAn pin.tu tA/ bA.gi A.de/ k«.lu.wAâÖ ],Ibu memasang pengadang di pintu supaya adik tidak dapat keluar rumah
acilut,[A.Si.lut],kata nama,"sejenis permainan kejar-mengejar, cekup puyuh.",Maen acilut ataeh darat buleh dalam ayaq pon buleh.,[mAEn A.Si.lut A.tAEh dA.ÒAt bu.leh dA.lAm A.jAâÖ pon bu.leh],Bermain acilut boleh di darat atau di air.
acaq,[A.tSAâÖ],kata nama,"takungan air kotor, biasanya di luar rumah sebelah dapur, limbahan.",Bau acaq tepi rumah tu busuk.,[bAw A.tSAâÖ t«.pi Òu.mAh tu bu.su/],Bau limbahan di tepi rumah itu busuk.
dapoq,[dA.pâÖ],kata nama,"1. ukuran tradisional bagi keluasan tanah, iaitu satu jemba lebar dan satu jemba panjang, bersamaan dengan 19.2 meter (64 kaki) persegi (Catatan: satu relung bersamaan dengan 484 dapoq).",Depa dapat hareta pesaka sorang serelong lima puloh dapoq.,[dE.pA dA.pAt hA.Ò«.tA p«.sA.kA s.ÒAN s«.Ò«.loN li.mA pu.loh dA.pâÖ],Mereka mendapat harta pesaka sebanyak satu relung lima puluh jemba setiap orang.
ahia,[A.hi.jAâ],kata adjektif,"tegas dan tidak mudah mengalah (terhadap sesuatu keputusan atau pegangan yang diambil), keras hati.","Hang tok sah dok ajak diala, saheh dia tak mau pi pasai hati dia ahia.",[hAN to/ sAh do/ A.dZA/ di.jA.lA sA.hEh di.jA tA/ mAw pi ],"Tak usahlah kamu ajak, dia tetap tidak akan pergi kerana keras hatinya."
agaq-agaq liat,[A.gAâÖ.A.gAâÖ li.jAt],"sejenis kuih yang dibuat daripada agar-agar yang dimasak bersama-sama gula, batu benang sila dan daun pandan.",,,,
agaq-agaq kerin,[A.gAâÖ.A.gAâÖ k«.Òin],"sejenis kuih yang dibuat daripada agar-agar yang dimasak dengan gula batu, dibekukan, dipotong nipis-nipis dan kemudiannya dijemur.",,,,
agaq-agaq gulong,[A.gAâÖ.A.gAâÖ gu.loN],"sejenis kuih yang dibuat daripada agar-agar, gula yang dimasak pekat, dibekukan dan digulung.",,,,
agaq-agaq basah,[A.gAâÖ.A.gAâÖ bA.sAh],sejenis kuih yang dibuat daripada agar-agar yang dicampur dengan gula.,,,,
adang,[A.dAN],kata nama,"pengadang, pendinding, tangkal atau azimat.",,,
adan,[A.dAn],kata nama,"pengadang yang dipasang di pintu, tangga dan sebagainya, untuk menyekat kanak-kanak keluar rumah.",Mak buboh adan depan pintu tak bagi adek keluaq rumah.,[mA/ bu.boh A.dAn d«.pAn pin.tu tA/ bA.gi A.de/ k«.lu.wAâÖ ],Ibu memasang pengadang di pintu supaya adik tidak dapat keluar rumah
acilut,[A.Si.lut],kata nama,"sejenis permainan kejar-mengejar, cekup puyuh.",Maen acilut ataeh darat buleh dalam ayaq pon buleh.,[mAEn A.Si.lut A.tAEh dA.ÒAt bu.leh dA.lAm A.jAâÖ pon bu.leh],Bermain acilut boleh di darat atau di air.
acaq,[A.tSAâÖ],kata nama,"takungan air kotor, biasanya di luar rumah sebelah dapur, limbahan.",Bau acaq tepi rumah tu busuk.,[bAw A.tSAâÖ t«.pi Òu.mAh tu bu.su/],Bau limbahan di tepi rumah itu busuk.
