0,1,2,3,4,5,6
angen gadai,[A.Nen gA.dAj],"angin yang bertiup kencang dan laut yang berombak besar, kadangkala disertai hujan selama 3-4 hari, menyebabkan nelayan tidak dapat turun ke laut. Nama angin ini mempunyai hubungan dengan keadaan kehidupan di masa dahulu apabila keluarga nelayan terpaksa bergadai barang kerana nelayan tidak dapat ke laut.","Nampaknye kite tak boleh ke laot, angen gadai kencang.",[nAm.pA/.ø« ki.t« tA/ bo.leh k« lAot A.Nen gA.dAj k«n.tSAN],"Nampaknya kita tak boleh ke laut, angin gadai kencang.",
jelat,[dZ«.lAt],kata adjektif,"1. degil; himol, baut.",Kau ni jelat betol.,[kAw ni dZ«.lAt b«.tol],Kau ni degil betul.
2. berkenaan dengan orang atau haiwan yang memakan apa sahaja benda yang tidak sanggup dimakan oleh orang lain.,"Jelat beno budak ni, nasik basi pon abes.",[dZ«.lAt b«.n bu.dA/ ni nA.si/ bA.si pon A.bes],"Jelat benar budak ini, nasi basi pun dimakannya.",,,
2. terpaksa melakukan sesuatu pekerjaan yang membebankan.,Menyelanak aku kene buat kerje terok-terok.,[m«.ø«.lA.nA/ A.ku k«.n« bu.wAt k«Ä.dZ« t«.Äo/.t«.Äo/],Menyelanak aku kena buat kerja teruk-teruk.,,,
2. mendukung seseorang di bahagian belakang badan; encang.,"Meh atuk cangcang engkau, boleh jalan cepat sikit.",[meh A.tu/ tSAN.tSAN «N.kAw bo.leh dZA.lAn tS«.pAt si.ket],"Mari atuk dukung engkau di belakang, boleh jalan cepat sikit.",,,
2. menakik-nakik sesuatu yang keras seperti tanah pada pangkal pokok atau kayu.,"Cobe kau recak pangkal pokok pisang ni, biau subo.",[tSo.b« kAw Ä«.tSA/ pAN.kAl po.ko/ pi.sAN ni bi.jAw su.bo],"Cuba engkau recak pangkal pokok pisang ni, biar subur.",,,
penanggah,[p«.nAN.gAh],kata nama,1. orang yang membantu melayan tetamu dalam kenduri kahwin.,Semue penanggah kite beri kue dan bunge telo.,[s«.mu.w« p«.nAN.gAh ki.t« b«.Äi kue dAn bu.N« t«.lo],Semua penanggah kita beri kuih dan bunga telur.
2. kayu penahan yang dipasang di kiri kanan tiang rumah supaya tegak.,Kau nak pasang kayu mempisang kene kiri kanan baru kuat.,[kAw nA/ pA.sAN kA.ju m«m.pi.sAN k«.n« ki.Äi kA.nAn bA.Äu ku.wAt],Kau nak pasang kayu mempisang kene kiri kanan baru kuat.,,,
mempisang,[m«m.pi.sAN],kata nama,1. kayu kecil yang dipasang memanjang dari kemudi hingga ke haluan di kiri kanan bahagian atas dinding perahu dan melekat pada perahu (tidak seperti sia yang tidak melekat pada perahu). Mempisang melindungi bahagian itu daripada menjadi haus akibat kerja di laut seperti menarik pukat.,"Kau kene pasang mempisang, nanti sapan perahu kau.",[kAw k«.n« pA.sAN m«m.pi.sAN nAn.ti sA.pAn p«.Ä«.hu kAw],"Kau kena pasang mempisang, nanti rosak perahu kau."
2. tempat meletakkan hidangan di luar rumah yang diperbuat daripada buluh atau kayu khususnya sewaktu majlis perkahwinan dan lain-lain; selasau.,"Eh, penanggah kau tak siap lagi ke, mana nak letak makanan.",[eh p«.nAN.gAh kAw tA/ si.jAp lA.gi k« mA.nA nA/ l«.tA/ mA.kA.nAn],"Eh, penanggah engkau tidak siap lagikah? Di mana hendak letak makanan.",,,
menyelanak,[m«.ø«.lA.nA/] kata kerja,kata kerja,1. melakukan aktiviti lasak yang tidak berfaedah. Contohnya kanak-kanak pergi bermain-main ke dalam semak atau ke dalam sawah terbiar dan sebagainya; melangsang.,"Menyelanak aje keje engkau, kan dah dekat pekse.",[m«.ø«.lA.nA/ A.dZ« k«.dZ« «N.kAw kAn dAh d«.kAt pe/.s«],"Menyelanak sahaja kerja engkau ini, kan dah nak periksa."
cangcang,[tSAN.tSAN],kata kerja,1. agak atau anggar.,"Cobe cangcang, berape gantang beras nak gune kenduri tu nanti.",[tSo.b« tSAN.tSAN b«.ÄA.p« gAn.tAN b«.ÄAs nA/ gu.n« k«n.du.Äi tu nAn.ti],"Cuba anggar, berapa gantang beras diperlukan semasa kenduri itu nanti."
recak,[Ä«.tSA/],kata kerja,1. menakik-nakik hujung buah durian untuk mencari garisan pangsa supaya senang dibuka,"Durian ni kulet tebal, kena recak banyak kali, baru boleh bukak.",[du.Äi.jAn ni ku.let t«.bAl k«.nA Ä«.tSA/ bA.øA/ kA.li bA.Äu bo.leh bu.kA/],"Durian ini berkulit tebal, kena recak banyak kali, baru boleh dibuka."
rumah ibu,[Äu.mAh i.bu],"bahagian rumah yang paling besar yang mempunyai 6 tiang, biasanya mempunyai sebuah bilik tidur.","Bapak kau kalau buat rumah ibu, buat le bileknye sekali",[bA.pAk kAw kA.lAw bu.wAt Äu.mAh i.bu bu.wAt l« bi.le/.ø« s«.kA.li],"Bapak kau kalau buat rumah ibu, buatlah biliknya sekali.",
