0,1,2,3,4,5,6
2. mengeringkan sesuatu; sereyat 1 (kk),Kolah tu kena periat dulu baru takong ayaq.,[ko.lAh tu k«.nA p«.Òi.jAt du.lu bA.Òu tA.koN A.jA)Ö],Kolah itu perlu dikeringkan dulu baharu takung air.,,,
6. makan suap,Laki dia kena tangkap pasai tutoh duet serekat.,[lA.ki di.jA k«.nA tAN.kAp pA.sAj tu.toh du.wet s«.ÒE.kAt],Suaminya ditangkap sebab makan suap wang syarikat.,,,
5. melakukan sesuatu sesuka hati,"Dia maen tutoh reta ikut dan, tak kira lampu hijau, lampu merah dia redah saja",[di.jA mAen tu.toh ÒE.tA i.kut dAn tA ki.ÒA lAm.pu hi.dZAw lAm.pu mE.ÒAh di.jA Ò«.dAh sA.dZA],"Dia membawa kereta sesuka hati, tidak kira lampu hijau, lampu merah dia rempuh saja.",,,
4. mengambil.,"Jangan tutoh buah tu kat hang sorang, bedak-bedak kat orang laen sama.",[dZA.NAn tu.toh bu.wAh tu kAt hAN so.ÒAN bE.dA.bE.dA kAt o.ÒAN lAen sA.mA],"Jangan mengambil buah seorang diri, bahagi-bahagikan kepada orang lain juga.",,,
3. bersetubuh.,,,,,,
2. marahi seseorang.,Aku tutoh dia cukop-cukop sampai dia tak tejawap.,[A.ku tu.toh di.jA tSu.kop.tSu.kop sAm.pAj di.jA tA t«.dZA.wAp],Saya marahinya sehingga dia tidak terjawab.,,,
3. mematikan hujah seseorang,Dalam mesyorat sat gi hang jangan tinaih dia pasai dia tu cepat merajok.,[dA.lAm m«.S.ÒAt sAt gi hAN dZA.NAn ti.nAC di.jA pA.sAj di.jAtu tS«.pAt m«.ÒA.dZo],Dalam mesyuarat nanti kamu jangan mematikan hujahnya sebab dia itu cepat merajuk.,,,
2. menindas seseorang atau sekumpulan orang,"Mentang-mentang dia baru reja, hampa dok tinaih dia saja.",[m«n.tAN.m«n.tAN di.jA bA.Òu Ò«.dZA hAm.pA do ti.nAC di.jA sA.dZA],"Mentang-mentang dia baru kerja, kamu asyik menindasnya.",,,
"3. seperti, macam",Tera tu punya alim hang tak mau lagi.,[t«.ÒA tu pu.øA A.lim hAN tA/ mAw lA.gi],Seperti itu alimnya awak tidak berkenan lagi.,,,
2. setakat,Tera ni la hat aku buleh tulong pon.,[t«.ÒA ni lA hAt A.ku bu.leh tu.loN pon],Setakat inilah yang saya boleh tolong.,,,
2. berkenaan dengan muka yang tidak ceria kerana sesuatu sebab,"Kalu adek beradek laki dia mai, muka dia mola tepeleot.",[kA.lu A.de b«.ÒA.de lA.ki di.jA mAj mu.kA di.jA m.lA t«.p«.lE.ot],"Kalau adik beradik suaminya datang, wajahnya tidak ceria.",,,
"2. berkenaan dengan badan yang dada tertolak ke hadapan dan bahagian belakang badan kelihatan melengkung, biasanya kerana menahan sakit atau kekenyangan",Lepaih bukak posa dia tekediang besandaq dekat dindin.,[l«.pAC bu.kA/ p.sA di.jA t«.k«.di.jAN b«.sAn.dA)Ö d«.kAt din.din],Selepas berbuka puasa dia terkediang bersandar di dinding.,,,
2. membazir,"Makan nasik perabeh, jangan buat tahana.",[mA.kAn nA.si/ p«.ÒA.beh dZA.NAn bu.wAt tA.hA.nA ],"Makan nasi hingga habis, jangan membazir.",,,
2. menyedut sesuatu,Kalu nak makan siput belitong kena pandai serot.,[kA.lu nA/ mA.kAn si.put b«.li.toN k«.nA pAn.dAj s«.Ò)t],Kalau makan siput belitung perlulah tahu menyedut.,,,
3. berkenaan dengan badan seseorang yang kurus selepas pulih daripada sakit; seroh,"Lepaih belah, badan dia nampak sereyat.",[l«.pAC b«.lAh bA.dAn di.jA nAm.pA/ s«.Ò«.jAt],Selepas dibedah badannya kelihatan kurus.,,,
"2. berkenaan dengan lauk yang hampir habis; gayat, sayop.","Baru pukoi satu, laok dah sereyat kat kantin.",[bA.Òu pu.koj sA.tu lAo/ dAh s«.Ò«.jAt kAt kAn.tin],"Baru pukul satu, lauk di kantin sudah hampir habis.",,,
"2. menyarung sesuatu pada kaki (seperti stokin, kasut dan lain-lain)",Serelom stoken dulu baru pakai kasut.,[s«.Ò«.lom sto.ken du.lu bA.Òu pA.kAj kA.sut],Sarungkan stoking dahulu baru memakai kasut.,,,
2. berkenaan dengan zakar yang mengecut.,,,,,,
2. binaan tambahan di bahagian sisi rumah yang berbumbung sendeng dan lebih rendah daripada bumbung asal,Bila nak kenuri-kenara orang buat semurop untok masak.,[bi.lA nA/ k«.nu.Òi.k«.nA.ÒA .ÒAN bu.wAt s«.mu.Òop un.to/ mA.sA/],Apabila kenduri-kendara orang buat semurop untuk memasak.,,,
2. comot berkenaan muka,"Dekat nak tidak, dia lumoq muka dia dengan bedak sejuk sampai selopiang.",[d«.kAt nA/ ti.do)Ö di.jA lu.mo)Ö mu.kA di.jA d«.NAn b«.dA/ s«.dZu/ sAm.pAj s«.lo.pi.jAN],"Semasa hendak tidur, dia melumur mukanya dengan bedak sejuk hingga comot.",,,
4. menangguhkan bayaran,Sewa bulan ni aku selop pasai aku nak pakai duet.,[sE.wA bu.lAn ni A.ku s«.lop pA.sAj A.ku nA/ pA.kAj du.wet],Sewa bulan ini saya tangguhkan sebab saya hendak menggunakan wang.,,,
3. pitam,Dia selop lepaih jatoh baskat.,[di.jA s«.lop l«.pAC dZA.toh bAs.kAt],Dia pitam selepas terjatuh daripada basikal.,,,
2. menangis sehingga tidak mengeluarkan suara,Budak kecik tu selop lepaih jatoh ndoi.,[bu.dA k«.tSi tu s«.lop l«.pAC dZA.toh ndoj],Budak kecil itu selop selepas terjatuh buai.,,,
"2. membungkus seseorang atau sesuatu keseluruhannya dengan sesuatu (seperti kain, daun, kertas dan sebagainya)",Nangka kalu nak elok kena selangkom dengan kaen dari awai- awai lagi.,[nAN.kA kA.lu nA/ E.l/ k«.nA s«.lAN.kom d«.NAn kAen dA.Òi A.wAj.A.wAj lA.gi],Nangka kalau hendak elok buahnya perlulah dibungkus dengan kain awal-awal lagi.,,,
2. menyapu atau mengesat sesuatu yang berair,"Co hang relaih meja tu, aku tengok belengaih.",[tSo hAN Ò«.lAC mE.dZA tu A.ku tE.N b«.l«.NAC],"Cuba awak sapu meja itu, saya nampak belengas.",,,
2. beban yang sengaja dicari,Yang bawak balek reba tu pasai apa? Reja yang dok ada pon tak tepulon.,[jAN bA.wA bA.le Ò«.bA tu pA.sAj A.pA Ò«.dZA jAN do A.dA pon tA t«.pu.lon],Mengapa bawa balik beban. Kerja yang sedia ada pun tidak terbuat.,,,
"2. bahagian belakang sesuatu seperti kereta, kuali dan lain-lain",Awat pungkoq reta hang kemek?,[A.wAt puN.ko)Ö ÒE.tA hAN k«.me],Apa sebab belakang kereta awak kemek?,,,
2. memukul seseorang,Dia pediah budak yang suka acan dia.,[di.jA pi.di.jAh bu.dA/ jAN su.kA A.tSAn di.jA],Dia memukul budak yang suka mengusiknya.,,,
