0,1,2,3,4
"tapi Bj, Sl",dinding lepa.,Lepa biasanya berukuran 5 meter panjang dan 1.5 meter lebar dan membentuk struktur sebuah rumah yang mempunyai dinding dipanggil ‘tapi’ dan beratap daun nipah dikenali ‘kajjang’.,www.berita Harian. com.my,Glosari Leksikal Bahasa Sukuan
kotang-kotangan Mr,sepuluh batang buluh berukuran paling pendek dan kecil tidak lebih dari 0.5 kaki atau 15 centimeter sahaja yang terdapat pada alat muzik Bakokong.,"Alat-alat yang digunakan untuk mengiringi tarian tersebut ialah terdiri daripada sembilan buah gong, gendang dan kulintangan di mana-mana masing-masing dinamakan tobon, ketambon, toyogtoygan, tontogan, telutokon, kotang-kotangan, canang dan titikas.",Tarian kepingan besi,Glosari Leksikal Bahasa Sukuan
tengkaput Ih,sejenis burung dalam cerita mitos.,Berjalanlah Kedakil di negeri Sulug bersama sahabatnya burung Tengkaput.,Sabah Folk Tales 1-7,Glosari Leksikal Bahasa Sukuan
kamah-kamah Bj Sp,"kain yang dijahit bulat, diisi dengan kapuk, bulatannya sebesar jari kelingking orang dewasa dan panjangnya kira-kira 2.5 kaki. Digunakan sebagai lapik bagi menguatkan dengung/bunyi anak-anak gabang ketika dipukul.","Kamah-kamah ini dibuat dua lingkaran, diletakkan di sebelah menyebelah bahagian atas papagan, digunakan sebagai lapik bagi menguatkan dengung anak-anak gabang itu ketika dipukul; di bahagian dasar atau addas gabang diperbuat daripada zing ini adalah bagi membolehkan bunyi gabang itu akan bertambah nyaring.",Tarian-tarian Tradisional Negeri Sabah,Glosari Leksikal Bahasa Sukuan
pagago Kd Pn,pegaga; Centella asiatica.,Pada suatu hari Buangkut menyuruh ibunya mengambil sejenis tumbuhan istimewa yang dipanggil Pagago.,Sabah Folk Tales 1-7,Glosari Leksikal Bahasa Sukuan
ombuinang Tb,nama lain nenek kebayan.,"Wahai Makcik Ombuinang, bolehkah kami naik? kata anak muda itu setelah tiba di rumah Ombuinang.",Sabah Folk Tales 1-7,Glosari Leksikal Bahasa Sukuan
tengkerong Tb,cicak tokek.,"Setelah ia menyatakan demikian, anak muda itu pun menggoncangkan badannya dan lantas menjelmalah ia menjadi seekor cicak tengkerong.",Sabah Folk Tales 1-7,Glosari Leksikal Bahasa Sukuan
"sintong, *sintung* Ib","sejenis keranjang berbentuk bulat yang diperbuat daripada rotan dan bemban, mempunyai dua tali untuk disangkutkan di bahu. Ia digunakan khas semasa menuai padi. Ia boleh menampung sebanyak 2-3 gantang padi.","Barang-barang yang mereka bawa itu disimpan di dalam selabit, dibawa di belakang dengan sintong dan sebagainya.",Antologi Cerita Rakyat Iban,Glosari Leksikal Bahasa Sukuan
tolinting Kd,pokok paku menjalar.,Cara Membuat Sompoton. Untuk membuat Sompoton bahan-bahan berikut perlu disediakan. 1. Kurobu - labu liar. 2. Sopinit/sopilut - gam lebah jinak. 3. Sumbiling - buluh renik (Schizostachyum lima). 4. Polod - kulit sejenis pokok palma liar. 5.Tolinting - Pokok paku menjalar.,Alat-alat Muzik Tradisional Sabah Warisan Budaya Kita Bersama,Glosari Leksikal Bahasa Sukuan
"kinayoo Mr, Tb",besar.,"Jangan makan saya! Tetapi kita pergi bersama-sama ke hulu! Di sanalah kampung kami di hulu sungai Kinayoo. Waduh! Banyak orang di kampung kami, kata pelanduk itu kepada buaya itu.",Sabah Folk Tales 1-7,Glosari Leksikal Bahasa Sukuan
