Judul,Isi,Label
Kabar Warga Bantaran Citarum Diminta Waspadai Banjir Waduk Saguling,"Di tengah pemberitaan banjir di Pagarsih Bandung, beredar surat agar warga bantaran Sungai Citarum mewaspadai Waduk Saguling yang pintu airnya akan dibuka 1 meter. Surat itu beredar lewat aplikasi WhatsApp Messenger, Jumat (11/11/2016). Terlihat, kop surat bertuliskan 'Indonesia Power, Unit Pembangkitan Saguling' dengan lambang PLN di kanan atas. Surat itu bernomor 282/014/UPSGL/2016, tertanggal 10 November 2016. Surat itu ditandatangani oleh General Manager Indonesia Power Hendres Wayen P. ""Sehubungan dengan kondisi air Waduk Saguling sampai dengan saat ini telah mencapai ketinggian 643,70 mdpl, pada saat elevasi mencapai 643,80 mdpl sesuai SOP pintu spillway no.3 akan dibuka setinggi 1 m. Hal ini menyebabkan volume air ke Sungai Citarum akan bertambah besar. Untuk itu, kami mengimbau kepada seluruh masyarakat yang tempat tinggalnya berada di bantaran Sungai Citarum maupun masyarakat yang mempunyai aktivitas di area tersebut dimohon untuk meningkatkan kewaspadaan dan mengamankan diri masing-masing apabila sewaktu-waktu terjadi aliran air yang deras di Sungai Citarum (banjir),"" demikian bunyi surat itu.",fact
Pesan Bijak Bintang Iklan Rokok Sebelum Meninggal karena Kanker Paru,"Foto Wayne McLaren, seorang mantan bintang iklan rokok yang kemudian meninggal dunia karena kanker paru-paru beredar luas di media sosial. Foto tersebut disebar di grup percakapan sebagai pengingat soal bahaya merokok. Benarkah? Foto kolase tersebut beredar sejak lama. Namun hingga hari ini, masih sering disebar luas di media sosial. Isinya gambar sosok McLaren saat masih menjadi bintang iklan rokok. Dia digambarkan sebagai sosok pria macho, berdiri di samping kuda dan berpenampilan bak seorang koboi. Di sisi kanan foto itu, ada McLaren tua yang terkulai di rumah sakit. Diyakini, itu adalah foto McLaren sebelum mengembuskan nafas terakhir. Sebuah keterangan di bawah foto tadi tertulis bahwa McLaren adalah mantan bintang iklan rokok dan meninggal di usia 51 tahun karena kanker paru-paru. Pesan terakhirnya sebelum meninggal dunia justru agar masyarakat menjauhi rokok. ""Take care of the children. Tobacco will kill you, and I am living proof of it."" ",fact
Anggota Parlemen Ukraina Dilemparkan ke Bak Sampah,"""Di Ukraina Jika Anggota DPR Ga Becus Langsung Dibuang Ke Tempat Sampah, Kalau Di Indonesia….?"" demikian salah satu judul sebuah situs yang beredar luas di facebook. Judul itu sungguh menarik, karena diisi juga dengan gambar seorang pria berjas dan berdasi dilemparkan ke bak sampah. Artikel dan foto-foto itu beredar luas di media sosial sejak beberapa pekan lalu. Digambarkan, anggota DPR di dalam foto sudah tak dipercaya oleh rakyatnya. Si anggota parlemen dianggap tak becus kerja. Akhirnya masyarakat pun geram dan melemparkannya ke bak sampah. Beberapa akun mengomentarinya dengan penuh semangat, sebagian ikut menghardik anggota DPR di Indonesia. Ada juga yang ingin melakukan hal yang sama pada anggota DPR yang terbukti tak bekerja maksimal untuk rakyat.",fact
"Ubah HGB Jadi SHM di BPN Depok Cuma Bayar Rp 50 Ribu, Benarkah?","Beredar pesan berantai yang berisi informasi tentang biaya mengubah Hak Guna Bangunan (HGB) ke Sertifikat Hak Milik (SHM) bagi warga yang rumahnya berada di Depok. Mereka yang ingin mengubah HGB ke SHM cukup membayar Rp 50 ribu saja. Berikut pesan berantai tersebut: Bapak Ibu: Jika ada yang punya rumah di Depok yang masih HGB, sekarang ini ada pemutihan, dari sertifikat HGB menjadi SHM, hanya dengan biaya Rp 60.000 saja. Datang ke BPN Depok, bawa copy KTP, KK, PBB asli 3 tahun terakhir dan copynya. Beli map di sana 10.000 plus bayar biayanya di loket sebesar Rp 50.000. Hanya dalam waktu 5 hari kerja, SHGB sudah menjadi SHM. Semoga bermanfaat.",fact
Kartu 'Bebas Masalah' Khusus Untuk Bule di Bali,"Pesan berantai beredar melalui media sosial tentang pembuatan kartu anggota Foreigner Community Club (FCC) di Bali. Kartu ini disebut bisa menjadi penolong bila turis mendapat masalah di Bali.Kartu tersebut khusus untuk para ekspatriat. Bila mereka terkena masalah misalnya kehilangan paspor, tas, kebingungan di bandara atau ditipu, mereka bisa menunjukkan kartu tersebut untuk mendapatkan perlakuan prioritas. Kartu itu berwarna cokelat dan terdapat tulisan Foreigner Community Club (FCC Identity Card). Identitas yang dicantumkan adalah nama, kebangsaan, nomor paspor dan jabatan di FCC.  Ada lambang Polda Bali, PAM Obvit dan FCC. Pembuatan kartu itu rencananya akan dikenakan biaya sebesar Rp 150 ribu selama 6 bulan dan Rp 250 ribu selama 1 tahun. Biaya ini untuk menutupi biaya administrasi pembuatan kartu dan pemeliharaan data base. Informasi soal kartu ini juga akan diberitahukan melalui Facebook khusus yang dibuat komunitas FCC.",fact
Admin @setkabgoid Diganti karena Salah Kutip Pernyataan Jokowi,"Akun Twitter resmi Sekretariat Kabinet sempat mencuit pernyataan Presiden Joko Widodo terkait Nahdlatul Ulama. Cuitan itu menyatakan Jokowi meminta NU menindak ormas radikal. ""Kita sudah minta pada jajaran NU agar tegas pada aliran radikal & intoleran, apa pun organisasinya - Presiden @Jokowi,"" tulis akun @setkabgoid, yang kini sudah dihapus. Menurut Seskab Pramono Anung, administrator (admin) akun Twitter tersebut salah mengutip pernyataan Jokowi. ""Jadi ada kesalahan yang dilakukan oleh admin,"" kata Pramono di Istana Bogor, Kota Bogor, Jawa Barat, Selasa (28/11/2017). Pramono menyatakan admin tersebut tak membaca pernyataan Jokowi secara menyeluruh. Akibatnya, ada kesalahan konteks yang ditulis. ""Apa yang disampaikan oleh Presiden kan bukan ditujukan ke NU, tapi ditujukan ke jajaran pemerintah untuk bersikap tegas, bertindak tegas, terhadap aksi intoleransi dan radikalisme. Dikutip salah oleh adminnya dan langsung saya ganti, ya,"" tutur Pramono. ",fact
Basarnas 'Angkut' 52 Warga Gunung Agung yang Ogah Dievakuasi,"Basarnas telah mengevakuasi 52 warga sekitar kawasan Gunung Agung yang sempat menolak dievakuasi ke pengungsian. Kini mereka telah berada di pengungsian. ""Hari ini telah mengevakuasi 52 orang dari kawasan rawan bencana (KRB) II dan III,"" kata Direktur Operasional dan Latihan Basarnas Brigjen TNI (Mar) Ivan Ahmad Rizki Titus, Selasa (28/11/2017). Ivan memaparkan hal tersebut di hadapan Menko Kemaritiman Luhut Binsar Pandjaitan melalui video conference di ruang Command Center Kemenhub, Jalan Medan Merdeka Barat, Jakarta Pusat.Ia menambahkan, saat ini 52 warga itu sudah diungsikan ke pos yang ditentukan. Sebagai langkah antisipasi proses evakuasi, Basarnas juga menyiapkan kendaraan dan baju tahan api. Saat ini sudah ada 200 anggota Basarnas yang bersiaga di Kecamatan Rendang, Karangasem, Bali. Selain di Denpasar, Ivan akan mengerahkan anggotanya dari kantor SAR Mataram untuk memperkuat di kawasan Kecamatan Rendang. Sebelumnya, Gubernur Bali I Made Mangku Pastika mengatakan saat ini ribuan warganya mengungsi terkait erupsi Gunung Agung. Dia pun berbicara soal berbagai kebutuhan di lokasi. ""Kalau pengungsi sampai 70 ribu orang, kami memerlukan dukungan logistik beras 25 ton per hari, uang lauk-pauk Rp 10 ribu per kepala per hari. Kalau 70 ribu orang, berarti Rp 700 juta per hari,"" ujar Pastika. ",fact
Sisir Zona Rawan Gunung Agung| TNI Temukan Warga yang Bertahan,"TNI AD di bawah pasukan Kodim 1623 Karangasem menyisir lokasi wilayah rawan bencana erupsi tertinggi di kawasan sekitar Gunung Agung. Penyisiran ini dilakukan menyusul laporan Pusat Vulkanologi Mitigasi Bencana Geologi (PVMBG) bahwa terjadi tremor pada pukul 13.20 Wita. ""Kondisi memang saat ini mengkhawatirkan. Akhirnya kita lakukan penyisiran di zona merah. Mereka diharapkan langsung mengungsi,"" ujar Komandan Kodim 1623 Karangasem Letkol (Inf) Benny Rahadian kepada detikcom, di Posko Siaga Darurat Erupsi Gunung Agung, Tanah Ampo, Karangasem, Bali, Selasa (28/11/2017). Menurut Benny, penyisiran dilakukan hingga pukul 18.00 Wita. Pasukan kemudian ditarik lantaran kondisi cuaca yang tidak memungkinkan. ""Kondisi hujan dan semakin gelap. Makanya kita tarik demi keselamatan personel kami,"" ujarnya. Diakui Benny, hingga saat ini diprediksi masih banyak warga yang bertahan di zona merah. Kebanyakan warga di sekitar zona merah tersebut bertahan karena enggan meninggalkan rumah dan ternaknya. ""Sudah meningkat untuk pengungsi manusia. Ada saja yang bandel tidak mau turun. Mereka masih memikirkan rumah dan ternak hewan mereka,"" tambah Benny. Data terakhir dari Satgas Siaga Darurat Erupsi Gunung Agung hingga pukul 17.00 Wita, tercatat 29.023 penduduk mengungsi di zona aman. Para pengungsi yang diwajibkan keluar tersebut berada di lokasi zona 8-10 kilometer dari puncak gunung. ""Makanya saya tidak akan bisa tidur nyenyak jika belum 50 ribu orang turun untuk mengungsi. Karena prediksi kami masih ada banyak orang yang belum mengungsi,"" tambahnya. ",fact
Airlangga Jadi Caketum Golkar| Seskab: Presiden Tak akan Intervensi,"Menteri Perindustrian Airlangga Hartarto telah meminta izin dan mengaku dibolehkan oleh Presiden Jokowi untuk jadi calon Ketum Golkar. Sekretaris Kabinet Pramono Anung lalu menegaskan pemerintah tak akan mengintervensi urusan Golkar.""Presiden dan kami semua pemerintah sangat menghargai apa pun yang nanti diputuskan Golkar. Jadi kita tidak akan mengintervensi itu,"" kata Pramono di Istana Bogor, Kota Bogor, Jawa Barat, Selasa (28/11/2017). Wacana Musyawarah Nasional Luar Biasa (Munaslub) Golkar menguat menyusul ketua umum mereka, Setya Novanto, ditahan KPK. Ada kemungkinan munaslub itu digelar pada Desember 2017. Airlangga Hartarto disebut-sebut sebagai calon kuat untuk menjadi Ketum Golkar. Bahkan sampai ada opsi aklamasi untuk Airlangga. Sebelumnya, Airlangga menyatakan telah mendapat izin dari Jokowi. Namun dia tak menyebutkan apakah pencalonan ini akan berkaitan dengan posisinya sebagai menteri. ""Saya minta izin dibolehkan untuk ikut, karena saya kan pembantu beliau. Jadi saya minta izin. Harus lebih baik,"" kata Airlangga di Hotel Borobudur, Sawah Besar, Jakarta Pusat, Senin (27/11). ",fact
Ahmad Dhani Jadi Tersangka| Pengacara: Harusnya Dapat Perlindungan,"Kuasa hukum Ahmad Dhani, Ali Lubis, menilai cuitan kliennya di Twitter merupakan bagian dari kebebasan berpendapat. Ali mengatakan Dhani seharusnya mendapat perlindungan dalam menggunakan haknya tersebut. ""Seharusnya beliau (Ahmad Dhani) mendapat perlindungan dalam menggunakan hak kebebasan berpendapat sesuai dengan konstitusi RI,"" kata Ali dalam keterangannya, Selasa (28/11/2017). Ali juga menjelaskan cuitan Dhani di Twitter itu belum memenuhi unsur pidana seperti yang disangkakan oleh polisi. Sebab, menurut Ali, cuitan itu tak menyebut suku, ras, agama, dan antargolongan. ""Berdasarkan hasil kajian hukum kami, ternyata isi dari tweet tersebut masih bersifat normatif dan belum memenuhi unsur pelanggaran/pidana sesuai dengan UU ITE Pasal 28 ayat 2, karena isi tweet tersebut tidak menyebut suku ras, agama, dan antargolongan, terlebih nama seseorang,"" jelasnya. Karena itu, Ali menuturkan, pihaknya akan menyiapkan sejumlah langkah hukum untuk membebaskan Dhani dari sangkaan kasus ujaran kebencian tersebut. ""Terkait pembelaan hukum, kami akan maksimal dalam melakukan pembelaan. Sebab, kami bukan hanya untuk melindungi Ahmad Dhani, akan tetapi juga dalam konteks luas, yakni menyelamatkan demokrasi Indonesia,"" tuturnya. Polres Jakarta Selatan sebelumnya menetapkan Ahmad Dhani sebagai tersangka dalam kasus ujaran kebencian lewat cuitan sarkastis. Penetapan status tersangka ini dilakukan setelah penyidik melakukan gelar perkara pada 23 November. Polisi juga berencana memeriksa Dhani pada Kamis (30/11). Ini pertama kalinya Dhani diperiksa sebagai tersangka. ""Kita sudah kirim surat panggilan untuk hari Kamis,"" ujar Kapolres Jaksel Kombes Iwan Kurniawan saat dihubungi detikcom, Selasa (28/11/2017). ",fact
