News,Label
"Produk Kod E Mengandungi Lemak Babi. Awas, jangan sesekali menggunakan sebarang produk yang mengandungi Kod E kerana tidak halal. Kod E menunjukkan produk tersebut mengandungi lemak babi. ",Fake
"Jabatan Kemajuan Islam Malaysia memperjelaskan dakwaan sebuah mesej yang dikitar semula, yang mendakwa kononnya kod E dikaitkan dengan kandungan lemak babi sepertimana yang tular di media sosial. . Tular: November 2017 . Tular: Mei 2014 JAKIM ingin memaklumkan kepada masyarakat berhubung maklumat yang telah disebarkan secara meluas khasnya melalui media sosial berhubung kod E yang dikaitkan mempunyai lemak babi. Untuk makluman, KOD E ialah kod untuk bahan tambah (aditif) dan ianya selalu digunakan pada label makanan di negara Kesatuan Eropah. Menurut JAKIM, tidak semua nombor E yang digunakan untuk membuat sesuatu produk makanan berasaskan dari sumber yang haram. Sehubungan itu, sekiranya sesuatu produk merupakan produk tempatan dan mendapat sijil Pengesahan Halal Malaysia, maka ia boleh digunakan tanpa was-was sekalipun mempunyai kod E-kod. Tetapi sekiranya produk tersebut bukan produk tempatan serta tidak mendapat sijil pengesahan halal Malaysia walaupun menggunakan e-kod yang sama, pengguna dinasihatkan agar berhati-hati dalam memilih produk tersebut. ",Real
Roti Massimo Mengandungi DNA Babi. Roti produk Massimo keluaran Syarikat The Italian Baker mengandungi DNA babi. Para pengguna dinasihatkan supaya tidak memakan produk massimo. Terdapat pelbagai produk roti keluaran syarikat lain yang boleh dimakan dan halal. Mari kita sebarkan berita ini supaya semua rakyat Malaysia sedar dengan apa yang mereka makna setiap hari. Roti tidak halal ada DNA babi jangan makan ok.,Fake
Jabatan Kemajuan Islam Malaysia (JAKIM) melalui kenyataan di media sosial menafikan perkara tersebut. Produk Massimo keluaran Syarikat The Italian Baker Sdn Bhd adalah pemegang Sijil Pengesahan Halal Malaysia (SPHM) dan tarikh luput SPHM tersebut masih sah. ,Real
"Tiada Pembayaran Pencen Selepas Persaraan 2021? Tular di media sosial laporan berita kononnya daripada laman Astro AWANI, yang mendakwa bahawa tiada pembayaran pencen selepas persaraan 2021, dan pencen akan diganti dengan KWSP dengan serta-merta.",Fake
"Pihak Astro AWANI menafikan pernah menerbit dan menyiarkan artikel berjudul, Bayaran Pencen diganti kepada KWSP serta-merta’ di platform digital (www.astroawani.com), seperti yang ditularkan di media sosial. Artikel palsu itu antara lain mendakwa kononnya tiada pembayaran pencen selepas pesaraan 2021. Paparan imej yang menyalahgunakan logo nama Astro AWANI itu sengaja disunting serta diolah oleh pihak tidak bertanggungjawab untuk mengelirukan masyarakat. ",Real
"Kes Culik Untuk Dapat Organ Di Rompin? Tular di media sosial dakwaan bahawa terdapat kes kehilangan 16 orang kanak-kanak dan remaja berusia 12 hingga 20 tahun dari sekitar daerah Rompin, Pahang yang kononnya diculik untuk diambil organ dalaman.",Fake
"Polis menggesa orang ramai menghentikan penyebaran berita palsu tentang kes kehilangan 16 orang kanak-kanak dan remaja berusia 12 hingga 20 tahun dari sekitar daerah ini yang kononnya diculik untuk diambil organ dalaman. Penularan berita palsu melalui aplikasi WhatsApp sejak dua hari lepas telah menyebabkan keresahan dalam kalangan penduduk di daerah ini walaupun ia tidak benar. Menurut Ketua Polis Daerah Rompin, Deputi Superintendan Azli Mohd. Noor, setakat ini pihaknya belum menerima sebarang laporan kejadian orang hilang di daerah itu. ",Real
"Sebuah Keluarga Disamun Dan Dibunuh Di Kampung Shaari, Simpang Renggam Johor? Tular di media sosial satu rakaman suara yang mendakwa kononnya satu keluarga Melayu telah disamun dan dibunuh lelaki berbangsa India di Kampung Shaari, Simpang Renggam.",Fake
"Polis menafikan terdapat kes sebuah keluarga dibunuh seperti yang disebarkan pihak tidak bertanggungjawab di Kampung Shaari, Simpang Renggam Ketua Polis daerah, Asisten Komisioner Mohd. Abduh Ismail berkata, dakwaan yang dibuat seorang lelaki melalui rakaman suara yang ditular ke aplikasi Whatsapp itu adalah tidak benar sama sekali. Beliau berkata, “Melalui rakaman suara terbabit, kononnya satu keluarga Melayu telah disamun dan dibunuh lelaki berbangsa India di kampung terbabit. “Namun, hasil pemeriksaan polis mendapati tiada kes pembunuhan seperti didakwa. Perbuatan tidak bertanggungjawab menyebarkan berita palsu boleh mengganggu ketenteraman dan mendatangkan ketakutan kepada orang awam.” ",Real
