text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Bersatu kita teguh, bercerai kita roboh.	81037	Neutral	27	4231	2022-02-14T15:58:43.745680Z	2022-02-14T15:58:47.080664Z	282799.83
semuanya bersatu Bersatu Indonesia Kuat	81001	Neutral	27	4195	2022-02-14T15:56:20.283992Z	2022-02-14T15:56:23.113936Z	282655.843
Dulu aku Jenis yang Tak suka sgt tgk mp-mp showoff diorang punya kerja mcm ni. Tapi zaman pun berubah, kerajaan pun https://t.co/wCa0VV1Yxd	80998	Negative	27	4192	2022-02-14T15:55:57.558702Z	2022-02-14T15:56:03.446298Z	282636.179
Kini360: Pengamal media Kelantan terima dos pertama vaksin Covid-19 https://t.co/vSdp0j5e8X #PH #KerajaanGagal #PHKerajaanGagal #PHGagal	80968	Neutral	27	3923	2022-02-12T16:57:58.774007Z	2022-02-12T16:58:04.642062Z	113557.353
Kini360: Sabah lanjutkan PKP 3.0 hingga 28 Jun https://t.co/cLethomo4n #PH #KerajaanGagal #PHKerajaanGagal #PHGagal	80907	Negative	27	3862	2022-02-12T16:53:52.561250Z	2022-02-12T16:53:57.517652Z	113310.237
Lastly, kalau pi jumpa doktor kerajaan, ckp dgn doktor kau tak nak ubat. Tolong jgn buang duit negara bayar subsidi https://t.co/2jIzHiXXSA	80815	Neutral	27	3582	2022-02-10T03:47:55.488254Z	2022-02-10T03:48:00.162360Z	125164.567
SHAH ALAM: Dua remaja perempuan antara lapan individu yang ditahan polis kerana menyertai parti persendirian di seb https://t.co/2fpTmpjnOj	80777	Negative	27	3544	2022-02-10T03:46:05.580374Z	2022-02-10T03:46:08.656886Z	125053.106
Biarlah Sarawak nak percepatkan Vaksin sebab nak PRN .Janji tu inisiatif kerajaan Sarawak nak cepatkan imuniti. Bagi aku tak salah pun, its a win win situation. Rakyat dapat kembali ke kehidupan normal, kerajaan dapat jalankan pilihan raya	80751	Positive	27	3518	2022-02-10T03:44:27.778465Z	2022-02-10T03:44:31.285163Z	124955.726
#BHnasional Pengerusi BERSATU Perak, Datuk Seri Ahmad Faizal Azumu tegaskan parti itu dan PAS kekal sokong Datuk Sa https://t.co/5mMPXI1myA	80739	Neutral	27	3506	2022-02-10T03:43:24.687954Z	2022-02-10T03:43:59.912492Z	124924.347
Kerajaan diminta bertegas dan memberi amaran kepada kerajaan haram Israel yang kononnya mahu menjalin hubungan deng https://t.co/FmtFCxCeLF	80741	Negative	27	3508	2022-02-10T03:43:29.730626Z	2022-02-10T03:43:49.922541Z	124914.36
Skrg adalah masanya utk ahli2 PAS dan UMNO perkukuhkan hubungan. Bukan semua ahli UMNO setuju dgn keputusan utk kel https://t.co/Hz5rQhCUV9	80670	Positive	27	3437	2022-02-10T03:39:47.578168Z	2022-02-10T03:39:52.598743Z	124677.043
Bekas MB Perak, Datuk Seri Zambry Abdul Kadir dilantik Setiausaha Agung BN yang baru. #GetaranMY | #TERKINI	80665	Neutral	27	3432	2022-02-10T03:39:34.893325Z	2022-02-10T03:39:38.848633Z	124663.306
