text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Just go live your life and your privilege ass tu. Kau nak suruh rakyat bersabar?? 2 years of pandemic already we going through this tapi kerajaan mangkuk ni apa je diorang achieved??? Setakat one moment of Free Covid-19 lepastu korang punca balik sebab prn sabah tu pe cite kmk??!	80486	Negative	27	2475	2022-01-28T04:45:28.354220Z	2022-01-28T04:45:28.354234Z	2.205
PEMULIH | Bakul Makanan Untuk 6,000 Penerima Di Pasir Gudang Keputusan Kerajaan menyalurkan peruntukkan RM300,000 https://t.co/1ODeo0dcPY	80485	Positive	27	2474	2022-01-28T04:45:25.514281Z	2022-01-28T04:45:25.514295Z	1.999
@Nasarulfikri Dia pernah nk masuk PKR tapi org PKR perak taknak katanya. Malu muka sendiri. Dah elok jd ketua pemud https://t.co/y4VWmSMdZu	80484	Negative	27	2473	2022-01-28T04:45:23.124157Z	2022-01-28T04:45:23.124170Z	2.555
tak rasa macam federal offence ke? dah layak tarik lesen operasi di Msia dah ni. oh lupa duit pasti menang, bayar s https://t.co/Xo0h2Ii6bN	80483	Negative	27	2472	2022-01-28T04:45:20.181797Z	2022-01-28T04:45:20.181812Z	2.761
"@anwaribrahim Mungkinkah ini ""self-confession"" bahawa ahli politik itu tdk boleh dipercayai atas sifat mereka :- https://t.co/3pkaHflTlo"	80482	Negative	27	2471	2022-01-28T04:45:17.017943Z	2022-01-28T04:45:17.017998Z	2.817
Memasuki Pekan Terakhir Warga dan TNI Solid Bersatu Kebut Pembangunan TPT https://t.co/94CV1kbTGA	80481	Neutral	27	2470	2022-01-28T04:45:13.803701Z	2022-01-28T04:45:13.803717Z	3.26
latar belakang kluster: KILANG kerajaan: tutup KLANG	80480	Negative	27	2469	2022-01-28T04:45:10.105343Z	2022-01-28T04:45:10.105357Z	3.136
"""Kerajaan melayu isley part 2"""	80479	Negative	27	2468	2022-01-28T04:45:06.578446Z	2022-01-28T04:45:06.578461Z	1.932
kerajaan yang tak bantu rakyat masalahnya.	80478	Negative	27	2467	2022-01-28T04:45:04.258410Z	2022-01-28T04:45:04.258422Z	1.915
He himself pun kalah 2 kali berturut2 under BN ticket dekat Lembah Pantai and he was also the minister at that time	80477	Negative	27	2466	2022-01-28T04:45:01.950428Z	2022-01-28T04:45:01.950442Z	1.056
@Khahakim154 @H_Bakkaniy Sekarang ni kerajaan Kedah tak bantu ke yang naikkan bendera putih tu?	80476	Negative	27	2465	2022-01-28T04:45:00.490097Z	2022-01-28T04:45:00.490111Z	2.247
@harakahdailyHD DAP ni masalah terbesar dia negeri perintah bukan baik sangat. Sg Kerek dgn masalah pencemaran babi https://t.co/1QECOLuvII	80475	Negative	27	2464	2022-01-28T04:44:57.870997Z	2022-01-28T04:44:57.871009Z	1.366
Pusat Vaksinasi COVID-19 di Putrajaya Presint 15 #Politik #NormaBaharu #PKP #SOP #Darurat #Menteri https://t.co/YhrLxSl02z	80474	Neutral	27	2463	2022-01-28T04:44:56.106613Z	2022-01-28T04:44:56.106628Z	2.02
Kritik keras Komnas HAM, Hendardi minta pegawai KPK hentikan manuver politik TWK KPK Profesional #MAsahkanTWKdiKPK https://t.co/W6dtAAVbd8	80473	Positive	27	2462	2022-01-28T04:44:53.678594Z	2022-01-28T04:44:53.678612Z	3.852
@ndiahamirah Pergi kk nnti doktor buat surat utk refer hosp kerajaan jugak. Nnti dkt hosp terus pergi klinik kulit https://t.co/pD92noF2m3	80472	Neutral	27	2461	2022-01-28T04:44:49.402734Z	2022-01-28T04:44:49.402749Z	6.077
@ChusnulCh__ @PDemokrat @AgusYudhoyono Gaya Politik PD itu Lempar Batu Sembunyi Tangan	80471	Negative	27	2460	2022-01-28T04:44:42.933496Z	2022-01-28T04:44:42.933509Z	3.22
Aku faham kalau diorang buat macam ni sebab kalau aku jadi doktor pun aku penat la kimak. Bodoh punya kerajaan !	80470	Negative	27	2459	2022-01-28T04:44:39.328478Z	2022-01-28T04:44:39.328493Z	2.204
Mmg fake, kan kerajaan selalu bagi last minute, ni awal sgt ni	80469	Negative	27	2458	2022-01-28T04:44:36.746912Z	2022-01-28T04:44:36.746923Z	1.246
Yihhh bangun bangun tengok kerajaan tunggang langgang.	80468	Negative	27	2457	2022-01-28T04:44:35.117323Z	2022-01-28T04:44:35.117341Z	1.333
Menurut pemimpin #Umno Sabah, tindakan keras terhadap pendatang tanpa izin harus dimulakan sehingga wabak Covid-19 https://t.co/dtWslJnyi4	80467	Negative	27	2456	2022-01-28T04:44:33.341685Z	2022-01-28T04:44:33.341709Z	23.843
Disebbkan vaccination case makin hari makin bagus tak semesti nya kerajaan boleh buat taik Memang sial kerajaan https://t.co/m3lCol8GXX	80466	Negative	27	2455	2022-01-28T04:44:09.100647Z	2022-01-28T04:44:09.100663Z	2.206
@bernamadotcom @IsmailSabri60 Mengarut jer, dia nie antara punca yg bgtaw ahli politik yg balik semenanjung selepas https://t.co/tKqlgcycnV	80465	Negative	27	2454	2022-01-28T04:44:06.489124Z	2022-01-28T04:44:06.489138Z	1.473
@shaqibshahril Bakal - nakal parti hijau lah kan.	80464	Negative	27	2453	2022-01-28T04:44:04.581756Z	2022-01-28T04:44:04.581769Z	2.522
Program-program bantuan kerajaan untuk PKS terus berjalan seperti biasa sepanjang Darurat. sumber : Jawatankuasa Teknikal Pengurusan Darurat #darurat2021 #JapenJohor #KomunikasiKita https://t.co/tQeoAl6uuK	80463	Positive	27	2452	2022-01-28T04:44:01.678207Z	2022-01-28T04:44:01.678227Z	1.428
KOTA KINABALU: Warga emas tertua di Sabah menerima suntikan vaksin COVID-19 di Pusat Pemberian Vaksin (PPV) Dewan Serbaguna Kompleks Pentadbiran Kerajaan Persekutuan Sabah, pada Selasa. https://t.co/IkfRNGK5Pc	80462	Positive	27	2451	2022-01-28T04:43:59.833667Z	2022-01-28T04:43:59.833680Z	1.845
@Sarayuni ok? memang kerajaan kedah tua,chih tu,gangga negara tak pernah wujud ke? memang semuanya pasal sej melayu negeri2 selatan je ke?	80461	Negative	27	2450	2022-01-28T04:43:57.612299Z	2022-01-28T04:43:57.612312Z	1.494
Sempena PKP. Manatau ada yang mencari kursus ICT yang ditaja sepenuhnya oleh Kerajaan Negeri Sabah (government-spon https://t.co/PBBXSZhlfH	80460	Positive	27	2449	2022-01-28T04:43:51.028424Z	2022-01-28T04:43:51.028438Z	3.591
@ph54r_ Tempat dia tu trbuka luas. Glove dia tak tukar. Dia pegang orang tu lps tu dia pegang orang ini pula. Mcm t https://t.co/aLkvd6OCpG	80459	Negative	27	2448	2022-01-28T04:43:47.015257Z	2022-01-28T04:43:47.015283Z	3.364
1- Tadi lihat ada yang kongsikan berita pemberian Telefon murah kepada Pelajar oleh Kerajaan Perak, antara gambar y https://t.co/qdRx1MsxFB	80458	Positive	27	2447	2022-01-28T04:43:43.257136Z	2022-01-28T04:43:43.257150Z	4.838
@amanat_hadi @mujahidrawa Geng Atok 5 + PN 54 + Sabah 10 + Swak 20 + BN 23 = 112	80457	Neutral	27	2446	2022-01-28T04:43:38.027222Z	2022-01-28T04:43:38.027235Z	2.286
