,,,,,,,,,,,
,,,AGENSI SET DATA : SENARAI BALAI POLIS PDRM ,,,,,,,,
,,,KETERANGAN : SENARAI SENARAI BALAI POLIS PDRM PADA APRIL 2018,,,,,,,,
BIL,PERINGKAT ,NAMA IBU PEJABAT POLIS KONTINJEN,ALAMAT SURAT,POSKOD,BANDAR SURAT,NEGERI,NO. TELEFON,NO. FAX,E-MAIL,FACEBOOK,
1,BALAI ,BALAI POLIS PERMAS JAYA,JALAN PERMAS UTARA ,81750,JOHOR BAHRU,JOHOR,07-3864522,07-3866522,kpb_permasjaya@rmp.gov.my,Balai Polis Permas Jaya JB,
2,BALAI ,BALAI POLIS SETIA INDAH,JALAN SETIA INDAH 3/9 TAMAN SETIA INDAH,81100,JOHOR BAHRU,JOHOR,07-3516422,07-3515422,kbp_setiaindah@rmp.gov.my,Balai Polis Setia Indah,
3,BALAI ,BALAI POLIS TAMAN PELANGI,JALAN SRI PELANGI ,80400,JOHOR BAHRU,JOHOR,07-3357322,TIADA,kpb_tmnpelangi@rmp.gov.my,"Balai Polis Taman Pelangi 
Johor Bahru",
4,BALAI ,BALAI POLIS PELANGI INDAH,"JALAN CANTIK 3, TAMAN PELANI INDAH",81800,JOHOR BAHRU,JOHOR,07-8615422,07-8616422,kpb_pelangiindah@rmp.gov.my,Balai Polis Pelangi Indah,
5,BALAI ,BALAI POLIS DANGA BAY,JALAN SKUDAI,80200,JOHOR BAHRU,JOHOR,07-2359122,07-2359422,kpb_dangabay@rmp.gov.my,TIADA,
6,BALAI ,BALAI POLIS LOKAP AIR MOLEK,"JALAN GERTAK MERAH,",80000,JOHOR BAHRU,JOHOR,"07-2243122 
07-2244522",TIADA,kpb_lamolek@rmp.gov.my,TIADA,
7,BALAI ,BALAI POLIS TRAFIK,JALAN TEBRAU ,80250,JOHOR BAHRU,JOHOR,07-2237977,07-2277566 ,siasattrafik_jbs@rmp.gov.my,TIADA,
8,BALAI ,BALAI POLIS TAMPOI,"JKR 5844, JLN BACANG, TAMPOI",81200,JOHOR BAHRU,JOHOR,07-237 3222,07-234 4122,kpb_tampoi@rmp.gov.my,TIADA,
9,BALAI ,BALAI POLIS KEMPAS,"NO. 29, JLN PUTRA 1, TMN SRI PUTRA",81200,JOHOR BAHRU,JOHOR,07-557 6322,07-557 9322,kpb_kempas@rmp.gov.my,TIADA,
10,BALAI ,BALAI POLIS SKUDAI,"IPD JOHOR BAHRU UTARA, SKUDAI",81300,JOHOR BAHRU,JOHOR,07-560 5750,07-556 5223,kpb_skudai@rmp.gov.my,TIADA,
11,BALAI ,BALAI POLIS TAMAN UNIVERSITI,"JALAN KEBUDAYAAN 24, TAMAN UNIVERSITI, SKUDAI",81300,JOHOR BAHRU,JOHOR,07-520 3129,07-520 7322,kpb_tmnuniversiti@rmp. gov.my,TIADA,
12,BALAI ,BALAI POLIS TAMAN UNGKU TUN AMINAH,"JALAN TUN TEJA, TAMAN UNGKU TUN AMINAH",81300,JOHOR BAHRU,JOHOR,07-556 6705,07-556 9322,kpb_tunaminah@rmp.gov.my,TIADA,
