SENARAI SEKOLAH RENDAH DAN MENENGAH SEPERTI PADA 31 JANUARI 2020,,,,,,,,,,,,,,,,,,,,
BIL,NEGERI,PPD,PERINGKAT,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY
1,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0001,SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,054011341,054010387,ABA0001@moe.edu.my,Bandar,SK,473,43,ADA,ADA,101.255932,4.196633
2,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0002,SEKOLAH KEBANGSAAN PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,054182740,054182740,ABA0002@moe.edu.my,Bandar,SK,404,36,TIADA,TIADA,101.2006171,4.178275806
3,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0003,SEKOLAH KEBANGSAAN BANIR,BANIR,35400,TAPAH ROAD,054270085,TIADA,ABA0003@moe.edu.my,Bandar,SK,39,13,TIADA,TIADA,101.181893,4.204361
4,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0004,SEKOLAH KEBANGSAAN TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,054690253,054690263,ABA0004@moe.edu.my,Bandar,SK,114,18,TIADA,TIADA,101.1728194,4.235840515
5,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0005,SEKOLAH KEBANGSAAN CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,054161461,054161461,ABA0005@moe.edu.my,Luar Bandar,SK,199,20,TIADA,TIADA,101.240556,4.26798
6,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0006,SEKOLAH KEBANGSAAN BIDOR,JALAN SUNGKAI,35500,BIDOR,054340797,054340797,ABA0006@moe.edu.my,Bandar,SK,286,27,TIADA,TIADA,101.2885528,4.107830073
7,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0007,SEKOLAH KEBANGSAAN KAMPONG POH,KAMPONG POH,35500,BIDOR,054270103,TIADA,ABA0007@moe.edu.my,Luar Bandar,SK,101,12,TIADA,TIADA,101.333928,4.087714
8,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0008,SEKOLAH KEBANGSAAN BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,054198507,054190161,ABA0008@moe.edu.my,Bandar,SK,199,22,TIADA,TIADA,101.2275938,4.225044552
9,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0009,SEKOLAH KEBANGSAAN BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,054011249,TIADA,ABA0009@moe.edu.my,Bandar,SK,122,13,TIADA,TIADA,101.2849985,4.199232221
10,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0010,SEKOLAH KEBANGSAAN HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,056591069,056591069,ABA0010@moe.edu.my,Bandar,SK,249,28,TIADA,TIADA,101.151,4.126494
