,,,,,
SENARAI BALAI BOMBA DAN PENYELAMAT DI SELURUH MALAYSIA,,,,,
,,,,,
Bil ,Negeri,Zon,Balai,Alamat ,Perhubungan 
,,,,,
1 ,WP Putrajaya ,- ,BBP Putrajaya ,"Balai Bomba Dan Penyelamat Putrajaya, Lebuh Wawasan, Presint 7, 62250 Putrajaya ,WP Putrajaya ",Tel:03-88880970 / 0971
,,,,,Fax:03-88880019
,,,,,Email: oc-putra.bomba@1govuc.gov.my 
2 ,Johor ,Zon Johor Bharu ,BBP Johor Bahru ,"Jalan Tun Abdul Razak 80648 Johor Bahru , Johor ",Tel:07-2243444
,,,,,Fax:07-2244344
,,,,,Email: bbp-jhrbahru.bomba@1govuc.gov.my 
3 ,Johor ,Zon Johor Bharu ,BBP Johor Jaya ,"Jalan Ros Merah 4/1, Johor Jaya, 81100 Johor Bahru, Johor ",Tel:07-3511444
,,,,,Fax:07-3515344
,,,,,Email: bbp-jhrjaya.bomba@1govuc.gov.my 
4 ,Johor ,Zon Johor Bharu ,BBP Pasir Gudang ,"Jalan Mesjid Pasir Gudang 81700, Johor",Tel:07-2513444 / 2513944
,,,,,Fax:07-2532985
,,,,,Email: bbp-psrgudang.bomba@1govuc.gov.my 
5 ,Johor ,Zon Johor Bharu ,BBP Kulai ,"Jalan Pejabat Kerajaan Kulaijaya 81000, Johor ",Tel:07-6634444
,,,,,Fax:07-6621121
,,,,,Email: bbp-kulai.bomba@1govuc.gov.my
6 ,Johor ,Zon Johor Bharu ,BBP Pontian ,"Jalan Alsagoff Pontian 82000, Johor ","Tel:076864444,076874444"
,,,,,Fax:07-6879877
,,,,,Email: bbp-pontian.bomba@1govuc.gov.my 
7 ,Johor ,Zon Johor Bharu ,BBP Pekan Nenas ,"Jalan Pontian Pekan Nanas 81648, Johor ",Tel:07-6994444
,,,,,Fax:07-6993345
,,,,,Email: bbp-pekannenas.bomba@1/govuc.gov.my 
8 ,Johor ,Zon Johor Bharu ,BBP Pontian Baru ,"Jalan Sekolah Arab Pontian 82000, Johor ","Tel:076864044, 076866044"
,,,,,Fax:076869044
,,,,,Email: bbp_pontianbaru.bomba@1govuc.gov.my 
9 ,Johor ,Zon Johor Bharu ,BBP Pulai ,"Jalan Kebudayaan 22, Taman Universiti, Skudai, 81300, Johor ",Tel:07-5204144
,,,,,Fax:07-5205944
,,,,,Email: bbp-pulai.bomba@1govuc.gov.my 
10 ,Johor ,Zon Johor Bharu ,BBP Kulai Jaya ,"Jalan Putra 1, Kulai Jaya 81000, Johor",Tel:07 - 590 8711
,,,,,Fax:07 - 590 8235
,,,,,Email: bbp-putrakulai.bomba@1govuc.gov.my 
11 ,Johor ,Zon Johor Bharu ,BBP Tebrau ,"Jalan Kangkar Tebrau, Johor Bahru 81100, Johor",Tel:07-3317524
,,,,,Fax:07-3317522
,,,,,Email: bbp-tebrau.bomba@1govuc.gov.my 
12 ,Johor ,Zon Muar ,BBP Muar ,"Jalan Salleh, Muar, 84000, Johor ",Tel:06-9555994
,,,,,Fax:06-9522994
,,,,,Email: bbp_muar.bomba@1govuc.gov.my 
13 ,Johor ,Zon Muar ,BBP Bandar Putra ,"Jalan Putra 1/17, Bandar Putra, Segamat 85020, Johor ",Tel:07-9435844
,,,,,Fax:07-9435244
