75. Casabrina Vacation Villas Raub, Pahang
74. Dusun Bonda Resort
73. Rumah Kebun Semungkis
72. Le’ Manah Retreat, Pahang
71. JapaMala Resort, Pahang
70. Zamani’s Place, Kedah
69. Chalet Su, Terengganu
68. Samaya Villa, Melaka
67. Daun Retreats, Selangor
66. Desa Damai Chalet, Melaka
65. Cottage Homes PD, Negeri Sembilan
64. Suara Rimba Hulu Langat Chalet, Selangor
63. Casa Bayu Chalet, Kedah
62. The Cedar at Bidor, Perak
61. The Waterway Villa, Pahang
60. Casa Hill Resort, Pahang
59. Casa Loma, Pahang
58. Marakau Cabin Lodge, Sabah
57. Casa Tanjung Jara, Terengganu
56. Chengal Hill Retreat, Pahang
55. Cabana Retreat, Sabah
54. The Banjaran Hotsprings Retreat, Perak
53. Sugeh Village Country House, Selangor
52. Home@11 Homestay, Melaka
51. Homestay Rumah Sungai, Perak
50. Farm Ville Cafe & Homestay, Selangor
49. KeCabin Homestay Bungalow in a Village, Melaka
48. Teratak Sofea, Selangor
47. Nouri Villa Glass House, Hulu Langat
46. Dreamland Beach Holiday, Sabah
45. The Nahara Kalumpang, Selangor
44. Glamz At Genting, Pahang
43. Villaku, Pahang
42. Tadom Hill Resort, Selangor
41. Fig Tree Hill, Pulau Pinang
40. Sailors Rest, Pahang
39. Casabrina Villa, Pahang
38. Malihom, Pulau Pinang
37. Idaman House, Pahang
36. Masbro Village, Melaka
35. Philea Resort, Melaka
34. Templer Park Rainforest Retreat, Selangor
33. Desa Balqis, Melaka
32. Tanah Aina Farouq, Pahang
31. The Dusun Mantin, Negeri Sembilan
30. Limas Tiga, Melaka
29. Sekeping Serendah, Selangor
28. The Shorea, Negeri Sembilan
27. Tubotel, Langkawi
26. Time Capsule Retreat, Pahang
25. The Container Hotel, Kuala Lumpur
24. Bustel Klebang, Melaka
23. Seaventures Dive Resort, Sabah
22. Capsule by Container Hotel, Selangor
21. Canopy Tribes, Johor
20. Caravan Serai, Pahang
19. Eight Acres, Pahang
18. Casa Titik, Pahang
17. Belum Eco Resort, Perak
16. D’Ark Resort, Pahang
15. Terrapuri Heritage Village, Terengganu
14. Rumah Rehat Adeline, Perak
13. Kuang Kampong Retreat, Kuala Lumpur
12. The Hut, Melaka
11. The Kabin, Selangor
10. Fishing Bay Resort, Johor
9. Trata Leka, Johor
8. Sipadan Water Village, Sabah
7. Tok Aman Bali Beach Resort, Kelantan 
6. Awan Mulan, Negeri Sembilan
5. Mutiara Resort Taman Negara, Pahang
4. Villa Danialla, Kelantan
3. Daun Daun Chalet, Pahang
2. Eagle Ranch Resort, Negeri Sembilan
1. Classic Malay Home, Kuala Lumpur
