"Program Name","Program Group","Program Description","Program Website URL","Date Started","Date Ended","Program Location","Contact Email","Startup Name","Startup Oneliner","Startup Description","Year Founded","Origin Country","Startup Website URL","Industry 1","Industry 2","Industry 3","Industry 4","Industry 5"
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"ANB AGRO TRAINERS",-,"WE ARE NEW AGE AGROPRENEURS! 

AnB Agro Trainers is a social entrepreneurship up in north Malaysia focusing on creation of sustainable livelihood for youths, single mothers and their children and also senior citizens. We work in harmony with multicultural villagers. We make our presence by coaching them and up skilling  them via agriculture activities, capacity building and cottage industry, also  we offer agriculture guidance/advise. 

To date we have many success stories , touched many lives and still continuously working to instilling better future for our community. We see great prospect in agriculture to empower our society.",-,Malaysia,http://anbagrotrainers.wix.com/anb-agro-trainers,Agriculture,-,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"Batik Boutique",-,"A social enterprise producing high quality, hand-made Batik products made by artisans in Malaysia.",-,Malaysia,http://thebatikboutique.com,"Lifestyle & Fashion",-,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"Biji Biji Initiative",-,"Biji-Biji Initiative is a Malaysian an environmental based social enterprise company that provides a range of up-cycling[1] and art installation services.",-,Malaysia,http://biji-biji.com,"Art & Craft",Environment,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"Dialogue in the Dark",-,"Dialogue in the Dark is one of the world's most exciting life-changing experiences where visitors are guided by blind guides in absolute darkness",-,Malaysia,http://dialogue-in-the-dark.com,Education,-,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"Food for Good Project",-,"We bring corporate business to restaurants and convert corporate dining spending ($) into impactful CSR projects",-,Malaysia,http://mangochili.my,"Food & Beverages",-,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"HEART TREASURES SDN BHD",-,"We launched an Ecological Program as part of our occupational therapy and motor skills development with the aim of using 3R : Reuse, Redecorate and Reduce with a cause to create social and environmental sustainability as bringing forth growth to prosper our society. 
It also giving career opportunities and to transform society’s dream  by helping them to help themselves in a way of dignity and independently for our spectrum gifted community with autisms, development delay (slow learner), cerebral palsy, deaf & mute, attention deficit hyperactivity disorder (ADHD), physical disability, orphan, depression mother and single mother future.",-,Malaysia,http://facebook.comHeartTreasures,Education,Social,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"Lembah Bujang Ecopark",-,"Lembah Bujang Ecopark is a travel agency that supports atuition centre of at least 100 children from the low-income community in Lembah Bujang.",-,Malaysia,http://lembahbujang.com,"Travel & Tourism",-,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,Tanoti,-,"Tanoti Sdn Bhd is a congregation of Sarawakian women weavers and artisans dedicated towards the production, promotion and proliferation of hand-crafted fabrics",-,Malaysia,http://tanoticrafts.com,E-Commerce,-,-,-,-
"Amplify Award Batch 1","Amplify Award",-,-,"2015 Dec 15, 08:00 AM +08:00",-,-,-,"The Truly Loving Company (TLC)","The Truly Loving Company is a social enterprise that uses a corporate profit model to build a brand to generate long term, sustainable income for charities.","The “TLC” brand produces mainly household products that are as good if not better than many of the major brands you can name. These include:

kitchen cleaners
floor cleaners
bathroom cleaners
fabric care
We don't test on animals nor do we compromise on product standards. 

What also sets us apart is that 100% of TLC's dividends are given to charity. While there are many socially responsible Malaysian companies that support charities by donating a certain percentage of their income or profits to charitable causes, TLC gives 100% of its dividends to charity. ",-,Malaysia,http://www.thetrulylovingcompany.com,Social,-,-,-,-
"Amplify Award Batch 2","Amplify Award",-,-,"2016 Dec 08, 08:00 AM +08:00",-,-,-,"Catama Borneo",-,"Catama Crafts- a Social Enterprise working with Borneon Artisans to develop contemporary craft products",-,Malaysia,http://catamaborneo.com,"Lifestyle & Fashion",-,-,-,-
