"Program Name","Program Group","Program Description","Program Website URL","Date Started","Date Ended","Program Location","Contact Email","Startup Name","Startup Oneliner","Startup Description","Year Founded","Origin Country","Startup Website URL","Industry 1","Industry 2","Industry 3","Industry 4","Industry 5"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","Applied Energy Solutions","Not Available","AES Sdn Bhd  is a group of companies operating in the renewable energy market essentially in solar industry. We have a strong track record in delivering products and system solutions for micro grid and mini grid applications. We are focusing our business activities on the local energy markets in Asia. Our track record is supported by our innovative power conditioning, novel storage and control products as well as our experience as a system integrator for remote renewable power systems ranging from 10kW to multi-megawatt in scale. Expecting to finish 107 rural schools current solar hybrid programme in Sarawak by 2019.","Not Available",Malaysia,https://www.facebook.com/Applied-Energy-Solutions-237894663740310/,Energy,"Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","Beli Ubat","Not Available","Personalised medicines using integrated medical records ","Not Available",Malaysia,https://www.beliubat.com/,Chemicals,"Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","Collective Harvest","Collective Harvest is a Social Enterprise that empowers the marginalized in society through farming and actively involving them in every aspect of the supply chain.","Collective Harvest is a Social Enterprise that empowers the marginalized in society through farming and actively involving them in every aspect of the supply chain.","Not Available",Malaysia,https://www.collectiveharvest.co/,Agriculture,"Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","De Atoq Pins And Needles","De Atoq Pins And Needles is providing sewing skills to help refugees earn money to support their life.","DeAtoq Pins and Needle is a social business that reuse waste creatively by using textile waste and turn it into new product. We aim to inspire our surrounding with upcycling and fun approaches method for sustainable living. We have impacted 4 rohingyan refugees in total. Collecting more than 900kg of textile wastages, involving 3 residential areas and 1 bundle owner. We believe that our initiatives is part of the opportunity in our society to makes our society resilient and contributing towards a better nation. From small beginning comes great things.","Not Available",Malaysia,https://www.facebook.com/deatoqpinsandneedles/,"Not Available","Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available",FAVORIOT,"Not Available","We are an Internet of Things (IoT) Startup with a mission to build long term relationships with our customers by providing healthcare and pilgrim solutions through innovation and advanced technology in Internet of Things (IoT).","Not Available",Malaysia,https://www.favoriot.com/,"Medical, Health & Wellness","Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","Good Hijab","Not Available","Good Hijab is using used old shawl to turn to beautiful pouches as a gifts to reduce landfill waste and promote Fashion Tech program to develop more ethical fashion designer .","Not Available",Malaysia,https://www.facebook.com/GoodHijabMalaysia/,"Halal & Islamic","Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","Grub Cycle","A social supermarket dedicated to reduce food waste by selling edible leftover food at below market price","Grub Cycle is a social supermarket that is dedicated to reducing food waste.",2016,Malaysia,https://grubcycle.my/,E-Commerce,"Food & Beverages",Social,"Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available",Habibu,"HABIBU IS A SOCIAL ENTERPRISE THAT CURATE A PLATFORM TO SELLS, COLLABORATED, REVIEW AND SHOWCASES EXCLUSIVELY FOR LOCAL ENTREPRENEUR PRODUCTS AND SERVICES FOR MOTHER AND CHILDREN. ","Habibu is a curated platform for mothers that provides a simple and easy experience to shop products, services & community events that are current.",2017,Malaysia,https://www.habibu.my/,"Lifestyle & Fashion","Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","Havan Clothing","All our designs are inspired by the shelter-home children. When customers buy clothing from Havan, they will directly recognize a child's creativity. ","Empower Shelter-Home Children Through Fashion",2017,Malaysia,https://www.havanclothing.com/,"Lifestyle & Fashion","Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available",iLuvQuran,"iLuvQuran focused on building age-appropriate, creative and engaging Quran understanding (tafseer) lessons for children.","We study, research, produce and implement fun, engaging, Quran learning materials for children and teenagers with a social base of education for orphans and income generation for qualified Quran teachers. ","Not Available",Malaysia,http://iluvquran.com/,"Halal & Islamic","Not Available","Not Available","Not Available","Not Available"
"Amplify Accelerator Cohort 1","Amplify Accelerator","Not Available","Not Available","2018 Ogos 07 24:00 PG +08:00","2018 Ogos 07 24:00 PG +08:00","Not Available","Not Available","JomPandai Matematik","Not Available","My company, JomPandai Matematik is developing a thinking proficiency module to help children master problem solving strategies using Mathematics.","Not Available",Malaysia,https://cikguai.com/jom-pandai-matematik/,Education,"Not Available","Not Available","Not Available","Not Available"
