Nama Syarikat,Alamat 1,Alamat 2,Bandar,Poskod,Negeri,Negara,No Telefon,No faks,Email,Website
PR Worldwide Sdn Bhd,"Suite 805, PJ Tower,
Amcorp Trade Centre",18 Jalan Persiaran Barat,Petaling Jaya,46050,Selangor,Malaysia,60374933010,603 74933022,inquiry_prww@prworldwidelive.com     ,www.prworldwidelive.com/
UnUsUaL Productions (M) SDN BHD,"Lot 834-A01, Ground Floor Office"," Jalan Kusta,
Kawasan Industri Kampung Jaya",Sungai Buloh,47000,Selangor,Malaysia,603-6150 5554,603-6156 8554,enquiries@unusual.com.sg,www.unusual.com.sg/
Badminton Association of Malaysia,"Akademi Badminton Malaysia,
Bukit Kiara Sports Complex",Jalan 1/70 D,Bukit Kiara,60000,Kuala Lumpur,Malaysia,603-2011 2655,603-2011 3855,admin@bam.org.my,www.bam.org.my/
FOOTBALL ASSOCIATION OF MALAYSIA,Wisma FAM,"Jalan SS5A/9, Kelana Jaya",Petaling Jaya,47301,Selangor,Malaysia,603-78733100,603-78757984,mediacom@fam.org.my,www.fam.org.my
Malaysian Gymnastics Federation,Maktab Perguruan Teknik,Jalan Tenteram,nil,56000,Selangor,Malaysia,603 - 89941006,603 - 89941006,masgym78@gmail.com,websites.sportstg.com
Asian Football Confederation,AFC House,Jalan 1/155B,Bukit Jalil,57000,Kuala Lumpur,Malaysia,603 8994 3388,603 8994 2689,nil,www.the-afc.com
Malaysia Rugby Union," Suite 1.12, Level 1, Wisma OCM", Jalan Hang Jebat,nil,50150,Kuala Lumpur,Malaysia,603 2031 8336,603 2078 8336,admin@mru.org.my,www.mru.org.my/
LOL Events Sdn Bhd,"3-8, Oval Damansara",Jalan Damansara,nil,60000,Kuala Lumpur,Malaysia,603 7732 8872,nil,info@lolevents.my,lolevents.my
Exceed Sports & Entertainment Sdn Bhd,"E-13-05, Plaza Mont Kiara","No 2, Jalan Kiara",Mont Kiara,50480,Kuala Lumpur,Malaysia,nil,nil,letstalk@exceedse.com,exceedse.com
Starplanet Sdn Bhd,"62, Jalan Metro Pudu","Fraser Business Park, off Jalan Yew",nil,55100,Kuala Lumpur,Malaysia,603 92233667,nil,info@starplanet.com.my,www.starplanet.com.my
Squash Racquets Association of Malaysia (SRAM),"1st Floor, Sports Center (Block A)",University of Malaya,nil,50603,Kuala Lumpur,Malaysia,03-7955 3964,03-7955 9406,squashmalaysia@yahoo.com,malaysia-squash.org/
Muse Group Sdn Bhd,"Suite B-06-08, Getaway Corporate Suites, Getaway Kiaramas,",No 1 Jalan Desa Kiara,Mont Kiara,50480,Kuala Lumpur,Malaysia,66(0) 2661-8490-2,66(0) 2661-8493,POM@MUSEGROUP.ASIA,www.musegroup.asia/
Fitzgerald Communication Sdn Bhd,"S101, Centre Point","No. 3, Lebuh Bandar Utama",Bandar Utama,47800,Petaling Jaya,Selangor,03-7722 1968,03-7722 2968,info@fitzgerald.com.my,www.fitzgerald.com.my/
Monkey Theory Sdn. Bhd,"32, Jalan PJS 11/20",nil,Bandar Sunway,47500,Subang Jaya,Selangor,03-5612 8321,nil,marketing.monkeytheory@gmail.com ,www.monkeytheory.asia/
Asc Agenda Suria Communication Sdn Bhd," No. 198, 3rd Floor,",Jalan Tun Sambanthan,nil,50470,Kuala Lumpur,Malaysia,603) 2278 5555,603) 2278 5544,info@agendasuria.com,www.agendasuria.com
