TAHUN,STATUS SYARIKAT,AGENSI,NAMA SYARIKAT,NEGERI,ALAMAT SYARIKAT,NO. TEL SYARIKAT,TARIKH PENUBUHAN,MODAL DIBENARKAN,MODAL BERBAYAR,AKTIVITI SYARIKAT,KATEGORI SYARIKAT,SEKTOR
2017,AKTIF-KPI,FELCRA,FELCRA Bina Sdn. Bhd.,Kuala Lumpur,"WISMA BINA@HEDGEFORD 33 G-2, BLOK A, JALAN MAJU RIA, PLAZA WANGSAMAJU 53300 KUALA LUMPUR. TEL: 03-41312009/8006   FAKS:03-41442009",03-41312009/8006,11/02/2000,"10,000,000.00","10,000,000.00",Menjalankan ‘core business’ sebagai pelaksana kepada aktiviti pembinaan projek-projek yang ditawarkan oleh FELCRA serta membida projek luar,SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,FELCRA,FELCRA Properties Sdn. Bhd.,Kuala Lumpur,"Aras Bawah, Wisma FELCRA, Lot  PT4780, Jalan Rejang, Setapak Jaya 53300 KUALA LUMPUR",03-4145 5050,17/08/2011,"10,000,000.00","2,000,000.00",Hartanah,SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,FELCRA,Permodalan FELCRA Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA BHD, ARAS 5, LOT 4780, JALAN REJANG, SETAPAK JAYA, 50772  KUALA LUMPUR.",03-4145 5112,31/01/2012,"200,000,000.00","130,000,000.00",(i) Pelaburan di dalam bidang hartanah (ii) Pelaburan Amanah Hartanah Bumiputera (AHB) (iii) Pelaburan Simpanan Tetap,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,FELCRA,FELCRA Education Services Sdn. Bhd.,Kuala Lumpur,"Ibu Pejabat FELCRA Berhad,  tingkat 1 Wisma FELCRA, Lot  PT4780, Jalan Rejang, Setapak Jaya 53300 KUALA LUMPUR Tel   : 03-4145 5000 Faks: 03-4142 4570","Tel   : 03-4145 5000, Faks: 03-4142 4570",14/11/2011,"5,000,000.00","1,000,000.00","Menguruskan pusat latihan dan kolej (Pendidikan Tinggi, Kursus dan Latihan)",SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,FELCRA,FELCRA Training & Consultancy Sdn. Bhd.,Kuala Lumpur,"NO 22, JALAN RAMPAI NIAGA 4, RAMPAI BUSINESS PARK, 53300 KUALA LUMPUR",03-4143 3491,11/07/2002,"1,000,000.00","502,000.00",Menyediakan program latihan kemahiran dan perundingan kepada warga FELCRA Berhad dan anak-anak syarikatnya di samping latihan kemahiran dan perundingan kepada pihak swasta dan agensi kerajaan serta menjalankan seminar dan penyewaan kemudahan latihan di pusat dan sekolah latihan,SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,FELCRA,Yayasan FELCRA,Kuala Lumpur,"ARAS 2B WISMA FELCRA BERHAD, SETAPAK JAYA, KUALA LUMPUR.",03-41455476,06/12/1999,,,Meningkatkan pelajaran. Latihan dan kebajikan keluarga peserta-peserta dan staf,SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,FELCRA,FELCRA Bekalan & Perkhidmatan Sdn. Bhd.,Kuala Lumpur,"NO 8,JALAN USAHAWAN 5,KAWASAN PERUSAHAAN SETAPAK,53300 KUALA LUMPUR",03-41415608/5609,01/03/2000,"3,000,000.00","1,500,000.00",(i) Menjadi penyedia perkhidmatan agen korporat insuran/takaful (ii) Pembekal bekalan pelbagai dan perkhidmatan (iii) Pengedaran makanan dan produk jenama HeMAT,SUBSIDIARI,PERUNCITAN
2017,AKTIF-KPI,FELCRA,FELCRA Food Industries Sdn Bhd,Kuala Lumpur,"NO.9-2 & 3 JALAN SRI REJANG 1, RAMPAI BUSINESS PARK (SOUTH) TAMAN SERI RAMPAI, 53300 KUALA LUMPUR",03-41417979,14/04/2014,"5,000,000.00","1,000,000.00",Industri Makanan,SUBSIDIARI,PERKILANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Processing & Engineering Sdn. Bhd.,Kuala Lumpur,"NO. 22A, JALAN RAMPAI NIAGA 4, RAMPAI BUSINESS PARK, 53300 SETAPAK, KUALA LUMPUR",03-4142 4853/ 03-4149 5341,15/11/1975,"5,000,000.00","3,730,000.00",(i) Kilang Kelapa Sawit (ii) Bekalan Kejuruteraan (iii) Pengurusan Projek dan Kontrak (iv) Jentera Pertanian (v) Kilang Isi Rong Sawit (vi) Dried Long Fiber (vii) Feed Mill (viii) Santan Sawit,SUBSIDIARI,PERKILANGAN
2017,AKTIF,FELCRA,Diversatech (M) Sdn Bhd,Selangor,"A-01-02 JALAN MEDAN PB5, PARAGON POINT, SEKSYEN 9, 43650 BANDAR BARU BANGI, SELANGOR.",03-8926 3103,09/12/1998,"25,000,000.00","8,000,000.00",Pemprosesan Baja (Niche Market) - AJIB,SUBSIDIARI,PERKILANGAN
